strain,replicate,drug,time,microcol,mic
H09,1,CIP,48h,n,0.125
H09,1,CIP,48h,y,0.19
H09,2,CIP,48h,n,0.125
H09,2,CIP,48h,y,0.19
H09,3,CIP,48h,n,0.094
H09,3,CIP,48h,y,0.125
H09,1,GEN,48h,n,2
H09,1,GEN,48h,y,2
H09,2,GEN,48h,n,2
H09,2,GEN,48h,y,2
H09,3,GEN,48h,n,2
H09,3,GEN,48h,y,2
H09,1,TOB,48h,n,1.5
H09,1,TOB,48h,y,1.5
H09,2,TOB,48h,n,1.5
H09,2,TOB,48h,y,1.5
H09,3,TOB,48h,n,2
H09,3,TOB,48h,y,2
H09,1,MER,48h,n,0.023
H09,1,MER,48h,y,0.023
H09,2,MER,48h,n,0.032
H09,2,MER,48h,y,0.032
H09,3,MER,48h,n,0.032
H09,3,MER,48h,y,0.032
H09,1,PIT,48h,n,2
H09,1,PIT,48h,y,2
H09,2,PIT,48h,n,3
H09,2,PIT,48h,y,3
H09,3,PIT,48h,n,3
H09,3,PIT,48h,y,3
H09,1,COL,48h,n,4
H09,1,COL,48h,y,4
H09,2,COL,48h,n,4
H09,2,COL,48h,y,4
H09,3,COL,48h,n,2
H09,3,COL,48h,y,2
H09,1,AMI,48h,n,32
H09,1,AMI,48h,y,32
H09,2,AMI,48h,n,24
H09,2,AMI,48h,y,24
H09,3,AMI,48h,n,8
H09,3,AMI,48h,y,8
H09,1,CTZ,48h,n,0.75
H09,1,CTZ,48h,y,0.75
H09,2,CTZ,48h,n,1.5
H09,2,CTZ,48h,y,1.5
H09,3,CTZ,48h,n,0.75
H09,3,CTZ,48h,y,0.75
H09,1,CTT,48h,n,0.25
H09,1,CTT,48h,y,0.38
H09,2,CTT,48h,n,0.75
H09,2,CTT,48h,y,0.75
H09,3,CTT,48h,n,0.38
H09,3,CTT,48h,y,0.38
H10,1,CIP,24h,n,0.094
H10,1,CIP,24h,y,0.125
H10,2,CIP,24h,n,0.094
H10,2,CIP,24h,y,0.094
H10,3,CIP,24h,n,0.064
H10,3,CIP,24h,y,0.064
H10,1,GEN,24h,n,0.75
H10,1,GEN,24h,y,0.75
H10,2,GEN,24h,n,0.75
H10,2,GEN,24h,y,0.75
H10,3,GEN,24h,n,1
H10,3,GEN,24h,y,1
H10,1,TOB,24h,n,1.5
H10,1,TOB,24h,y,1.5
H10,2,TOB,24h,n,1.5
H10,2,TOB,24h,y,1.5
H10,3,TOB,24h,n,1.5
H10,3,TOB,24h,y,1.5
H10,1,MER,24h,n,0.016
H10,1,MER,24h,y,0.032
H10,2,MER,24h,n,0.016
H10,2,MER,24h,y,0.023
H10,3,MER,24h,n,0.023
H10,3,MER,24h,y,0.023
H10,1,PIT,24h,n,1.5
H10,1,PIT,24h,y,1.5
H10,2,PIT,24h,n,2
H10,2,PIT,24h,y,2
H10,3,PIT,24h,n,4
H10,3,PIT,24h,y,4
H10,1,COL,24h,n,3
H10,1,COL,24h,y,3
H10,2,COL,24h,n,2
H10,2,COL,24h,y,2
H10,3,COL,24h,n,3
H10,3,COL,24h,y,3
H10,1,AMI,24h,n,8
H10,1,AMI,24h,y,8
H10,2,AMI,24h,n,6
H10,2,AMI,24h,y,8
H10,3,AMI,24h,n,2
H10,3,AMI,24h,y,3
H10,1,CTZ,24h,n,2
H10,1,CTZ,24h,y,3
H10,2,CTZ,24h,n,1.5
H10,2,CTZ,24h,y,2
H10,3,CTZ,24h,n,0.75
H10,3,CTZ,24h,y,1
H10,1,CTT,24h,n,0.19
H10,1,CTT,24h,y,0.25
H10,2,CTT,24h,n,0.5
H10,2,CTT,24h,y,0.5
H10,3,CTT,24h,n,0.5
H10,3,CTT,24h,y,0.5
H10,1,CIP,48h,n,0.094
H10,1,CIP,48h,y,0.125
H10,2,CIP,48h,n,0.094
H10,2,CIP,48h,y,0.094
H10,3,CIP,48h,n,0.064
H10,3,CIP,48h,y,0.064
H10,1,GEN,48h,n,0.75
H10,1,GEN,48h,y,0.75
H10,2,GEN,48h,n,0.75
H10,2,GEN,48h,y,0.75
H10,3,GEN,48h,n,1
H10,3,GEN,48h,y,1
H10,1,TOB,48h,n,1.5
H10,1,TOB,48h,y,1.5
H10,2,TOB,48h,n,1.5
H10,2,TOB,48h,y,1.5
H10,3,TOB,48h,n,1.5
H10,3,TOB,48h,y,1.5
H10,1,MER,48h,n,0.016
H10,1,MER,48h,y,0.016
H10,2,MER,48h,n,0.016
H10,2,MER,48h,y,0.016
H10,3,MER,48h,n,0.023
H10,3,MER,48h,y,0.023
H10,1,PIT,48h,n,1.5
H10,1,PIT,48h,y,1.5
H10,2,PIT,48h,n,1.5
H10,2,PIT,48h,y,1.5
H10,3,PIT,48h,n,4
H10,3,PIT,48h,y,4
H10,1,COL,48h,n,3
H10,1,COL,48h,y,3
H10,2,COL,48h,n,2
H10,2,COL,48h,y,2
H10,3,COL,48h,n,3
H10,3,COL,48h,y,3
H10,1,AMI,48h,n,8
H10,1,AMI,48h,y,8
H10,2,AMI,48h,n,6
H10,2,AMI,48h,y,8
H10,3,AMI,48h,n,2
H10,3,AMI,48h,y,6
H10,1,CTZ,48h,n,2
H10,1,CTZ,48h,y,3
H10,2,CTZ,48h,n,1.5
H10,2,CTZ,48h,y,2
H10,3,CTZ,48h,n,0.75
H10,3,CTZ,48h,y,1
H10,1,CTT,48h,n,0.19
H10,1,CTT,48h,y,0.25
H10,2,CTT,48h,n,0.5
H10,2,CTT,48h,y,0.5
H10,3,CTT,48h,n,0.5
H10,3,CTT,48h,y,0.5
H11,1,CIP,24h,n,32
H11,1,CIP,24h,y,32
H11,2,CIP,24h,n,32
H11,2,CIP,24h,y,32
H11,3,CIP,24h,n,32
H11,3,CIP,24h,y,32
H11,1,GEN,24h,n,1.5
H11,1,GEN,24h,y,1.5
H11,2,GEN,24h,n,1.5
H11,2,GEN,24h,y,1.5
H11,3,GEN,24h,n,1.5
H11,3,GEN,24h,y,1.5
H11,1,TOB,24h,n,2
H11,1,TOB,24h,y,2
H11,2,TOB,24h,n,1.5
H11,2,TOB,24h,y,1.5
H11,3,TOB,24h,n,1.5
H11,3,TOB,24h,y,1.5
H11,1,MER,24h,n,0.094
H11,1,MER,24h,y,0.09
H11,2,MER,24h,n,0.094
H11,2,MER,24h,y,0.125
H11,3,MER,24h,n,0.094
H11,3,MER,24h,y,0.094
H11,1,PIT,24h,n,8
H11,1,PIT,24h,y,8
H11,2,PIT,24h,n,8
H11,2,PIT,24h,y,8
H11,3,PIT,24h,n,8
H11,3,PIT,24h,y,8
H11,1,COL,24h,n,4
H11,1,COL,24h,y,4
H11,2,COL,24h,n,4
H11,2,COL,24h,y,4
H11,3,COL,24h,n,3
H11,3,COL,24h,y,3
H11,1,AMI,24h,n,8
H11,1,AMI,24h,y,12
H11,2,AMI,24h,n,16
H11,2,AMI,24h,y,16
H11,3,AMI,24h,n,12
H11,3,AMI,24h,y,12
H11,1,CTZ,24h,n,4
H11,1,CTZ,24h,y,4
H11,2,CTZ,24h,n,3
H11,2,CTZ,24h,y,3
H11,3,CTZ,24h,n,3
H11,3,CTZ,24h,y,3
H11,1,CTT,24h,n,0.5
H11,1,CTT,24h,y,0.5
H11,2,CTT,24h,n,0.75
H11,2,CTT,24h,y,0.75
H11,3,CTT,24h,n,0.75
H11,3,CTT,24h,y,0.75
H11,1,CIP,48h,n,32
H11,1,CIP,48h,y,32
H11,2,CIP,48h,n,32
H11,2,CIP,48h,y,32
H11,3,CIP,48h,n,32
H11,3,CIP,48h,y,32
H11,1,GEN,48h,n,1.5
H11,1,GEN,48h,y,1.5
H11,2,GEN,48h,n,1.5
H11,2,GEN,48h,y,1.5
H11,3,GEN,48h,n,1.5
H11,3,GEN,48h,y,1.5
H11,1,TOB,48h,n,2
H11,1,TOB,48h,y,2
H11,2,TOB,48h,n,1.5
H11,2,TOB,48h,y,1.5
H11,3,TOB,48h,n,1.5
H11,3,TOB,48h,y,1.5
H11,1,MER,48h,n,0.094
H11,1,MER,48h,y,0.094
H11,2,MER,48h,n,0.094
H11,2,MER,48h,y,0.125
H11,3,MER,48h,n,0.094
H11,3,MER,48h,y,0.125
H11,1,PIT,48h,n,8
H11,1,PIT,48h,y,8
H11,2,PIT,48h,n,8
H11,2,PIT,48h,y,8
H11,3,PIT,48h,n,6
H11,3,PIT,48h,y,6
H11,1,COL,48h,n,4
H11,1,COL,48h,y,4
H11,2,COL,48h,n,4
H11,2,COL,48h,y,4
H11,3,COL,48h,n,3
H11,3,COL,48h,y,3
H11,1,AMI,48h,n,8
H11,1,AMI,48h,y,12
H11,2,AMI,48h,n,16
H11,2,AMI,48h,y,16
H11,3,AMI,48h,n,12
H11,3,AMI,48h,y,12
H11,1,CTZ,48h,n,4
H11,1,CTZ,48h,y,4
H11,2,CTZ,48h,n,3
H11,2,CTZ,48h,y,3
H11,3,CTZ,48h,n,3
H11,3,CTZ,48h,y,3
H11,1,CTT,48h,n,0.5
H11,1,CTT,48h,y,0.5
H11,2,CTT,48h,n,0.75
H11,2,CTT,48h,y,0.75
H11,3,CTT,48h,n,0.75
H11,3,CTT,48h,y,0.75
H12,1,CIP,24h,n,32
H12,1,CIP,24h,y,32
H12,2,CIP,24h,n,32
H12,2,CIP,24h,y,32
H12,3,CIP,24h,n,32
H12,3,CIP,24h,y,32
H12,1,GEN,24h,n,1.5
H12,1,GEN,24h,y,1.5
H12,2,GEN,24h,n,1.5
H12,2,GEN,24h,y,1.5
H12,3,GEN,24h,n,1.5
H12,3,GEN,24h,y,1.5
H12,1,TOB,24h,n,1
H12,1,TOB,24h,y,1.5
H12,2,TOB,24h,n,1.5
H12,2,TOB,24h,y,1.5
H12,3,TOB,24h,n,1.5
H12,3,TOB,24h,y,1.5
H12,1,MER,24h,n,16
H12,1,MER,24h,y,16
H12,2,MER,24h,n,12
H12,2,MER,24h,y,16
H12,3,MER,24h,n,8
H12,3,MER,24h,y,12
H12,1,PIT,24h,n,12
H12,1,PIT,24h,y,12
H12,2,PIT,24h,n,8
H12,2,PIT,24h,y,8
H12,3,PIT,24h,n,6
H12,3,PIT,24h,y,8
H12,1,COL,24h,n,3
H12,1,COL,24h,y,3
H12,2,COL,24h,n,2
H12,2,COL,24h,y,2
H12,3,COL,24h,n,3
H12,3,COL,24h,y,4
H12,1,AMI,24h,n,6
H12,1,AMI,24h,y,6
H12,2,AMI,24h,n,16
H12,2,AMI,24h,y,16
H12,3,AMI,24h,n,6
H12,3,AMI,24h,y,6
H12,1,CTZ,24h,n,1.5
H12,1,CTZ,24h,y,1.5
H12,2,CTZ,24h,n,2
H12,2,CTZ,24h,y,3
H12,3,CTZ,24h,n,6
H12,3,CTZ,24h,y,6
H12,1,CTT,24h,n,0.38
H12,1,CTT,24h,y,0.38
H12,2,CTT,24h,n,0.38
H12,2,CTT,24h,y,0.38
H12,3,CTT,24h,n,0.38
H12,3,CTT,24h,y,0.38
H12,1,CIP,48h,n,32
H12,1,CIP,48h,y,32
H12,2,CIP,48h,n,32
H12,2,CIP,48h,y,32
H12,3,CIP,48h,n,32
H12,3,CIP,48h,y,32
H12,1,GEN,48h,n,1.5
H12,1,GEN,48h,y,1.5
H12,2,GEN,48h,n,1.5
H12,2,GEN,48h,y,1.5
H12,3,GEN,48h,n,1.5
H12,3,GEN,48h,y,1.5
H12,1,TOB,48h,n,1
H12,1,TOB,48h,y,1
H12,2,TOB,48h,n,1.5
H12,2,TOB,48h,y,1.5
H12,3,TOB,48h,n,1.5
H12,3,TOB,48h,y,1.5
H12,1,MER,48h,n,12
H12,1,MER,48h,y,12
H12,2,MER,48h,n,12
H12,2,MER,48h,y,16
H12,3,MER,48h,n,8
H12,3,MER,48h,y,16
H12,1,PIT,48h,n,12
H12,1,PIT,48h,y,12
H12,2,PIT,48h,n,8
H12,2,PIT,48h,y,8
H12,3,PIT,48h,n,6
H12,3,PIT,48h,y,6
H12,1,COL,48h,n,3
H12,1,COL,48h,y,3
H12,2,COL,48h,n,2
H12,2,COL,48h,y,2
H12,3,COL,48h,n,3
H12,3,COL,48h,y,4
H12,1,AMI,48h,n,6
H12,1,AMI,48h,y,6
H12,2,AMI,48h,n,16
H12,2,AMI,48h,y,16
H12,3,AMI,48h,n,6
H12,3,AMI,48h,y,6
H12,1,CTZ,48h,n,1.5
H12,1,CTZ,48h,y,1.5
H12,2,CTZ,48h,n,2
H12,2,CTZ,48h,y,3
H12,3,CTZ,48h,n,6
H12,3,CTZ,48h,y,6
H12,1,CTT,48h,n,0.38
H12,1,CTT,48h,y,0.38
H12,2,CTT,48h,n,0.38
H12,2,CTT,48h,y,0.38
H12,3,CTT,48h,n,0.38
H12,3,CTT,48h,y,0.38
H13,1,CIP,24h,n,0.047
H13,1,CIP,24h,y,0.064
H13,2,CIP,24h,n,0.047
H13,2,CIP,24h,y,0.064
H13,3,CIP,24h,n,0.047
H13,3,CIP,24h,y,0.094
H13,1,GEN,24h,n,1.5
H13,1,GEN,24h,y,1.5
H13,2,GEN,24h,n,NA
H13,2,GEN,24h,y,NA
H13,3,GEN,24h,n,1
H13,3,GEN,24h,y,2
H13,1,TOB,24h,n,1.5
H13,1,TOB,24h,y,1.5
H13,2,TOB,24h,n,NA
H13,2,TOB,24h,y,NA
H13,3,TOB,24h,n,1.5
H13,3,TOB,24h,y,1.5
H13,1,MER,24h,n,0.016
H13,1,MER,24h,y,0.016
H13,2,MER,24h,n,NA
H13,2,MER,24h,y,NA
H13,3,MER,24h,n,0.023
H13,3,MER,24h,y,0.023
H13,1,PIT,24h,n,2
H13,1,PIT,24h,y,2
H13,2,PIT,24h,n,NA
H13,2,PIT,24h,y,NA
H13,3,PIT,24h,n,4
H13,3,PIT,24h,y,4
H13,1,COL,24h,n,4
H13,1,COL,24h,y,4
H13,2,COL,24h,n,4
H13,2,COL,24h,y,4
H13,3,COL,24h,n,4
H13,3,COL,24h,y,4
H13,1,AMI,24h,n,6
H13,1,AMI,24h,y,6
H13,2,AMI,24h,n,6
H13,2,AMI,24h,y,6
H13,3,AMI,24h,n,6
H13,3,AMI,24h,y,6
H13,1,CTZ,24h,n,1.5
H13,1,CTZ,24h,y,1.5
H13,2,CTZ,24h,n,1.5
H13,2,CTZ,24h,y,1.5
H13,3,CTZ,24h,n,2
H13,3,CTZ,24h,y,3
H13,1,CTT,24h,n,0.5
H13,1,CTT,24h,y,0.5
H13,2,CTT,24h,n,0.38
H13,2,CTT,24h,y,0.38
H13,3,CTT,24h,n,0.38
H13,3,CTT,24h,y,0.38
H13,1,CIP,48h,n,0.047
H13,1,CIP,48h,y,0.064
H13,2,CIP,48h,n,0.064
H13,2,CIP,48h,y,0.064
H13,3,CIP,48h,n,0.064
H13,3,CIP,48h,y,0.094
H13,1,GEN,48h,n,1.5
H13,1,GEN,48h,y,1.5
H13,2,GEN,48h,n,NA
H13,2,GEN,48h,y,NA
H13,3,GEN,48h,n,1
H13,3,GEN,48h,y,1
H13,1,TOB,48h,n,1
H13,1,TOB,48h,y,1
H13,2,TOB,48h,n,NA
H13,2,TOB,48h,y,NA
H13,3,TOB,48h,n,1.5
H13,3,TOB,48h,y,1.5
H13,1,MER,48h,n,0.016
H13,1,MER,48h,y,0.016
H13,2,MER,48h,n,NA
H13,2,MER,48h,y,NA
H13,3,MER,48h,n,0.023
H13,3,MER,48h,y,0.023
H13,1,PIT,48h,n,2
H13,1,PIT,48h,y,2
H13,2,PIT,48h,n,NA
H13,2,PIT,48h,y,NA
H13,3,PIT,48h,n,3
H13,3,PIT,48h,y,3
H13,1,COL,48h,n,4
H13,1,COL,48h,y,4
H13,2,COL,48h,n,4
H13,2,COL,48h,y,4
H13,3,COL,48h,n,4
H13,3,COL,48h,y,4
H13,1,AMI,48h,n,6
H13,1,AMI,48h,y,8
H13,2,AMI,48h,n,6
H13,2,AMI,48h,y,6
H13,3,AMI,48h,n,6
H13,3,AMI,48h,y,6
H13,1,CTZ,48h,n,1.5
H13,1,CTZ,48h,y,1.5
H13,2,CTZ,48h,n,1.5
H13,2,CTZ,48h,y,1.5
H13,3,CTZ,48h,n,2
H13,3,CTZ,48h,y,3
H13,1,CTT,48h,n,0.5
H13,1,CTT,48h,y,0.75
H13,2,CTT,48h,n,0.38
H13,2,CTT,48h,y,0.38
H13,3,CTT,48h,n,0.38
H13,3,CTT,48h,y,0.38
H14,1,CIP,24h,n,0.064
H14,1,CIP,24h,y,0.094
H14,2,CIP,24h,n,0.064
H14,2,CIP,24h,y,0.064
H14,3,CIP,24h,n,0.032
H14,3,CIP,24h,y,0.064
H14,1,GEN,24h,n,1.5
H14,1,GEN,24h,y,1.5
H14,2,GEN,24h,n,2
H14,2,GEN,24h,y,2
H14,3,GEN,24h,n,1.5
H14,3,GEN,24h,y,1.5
H14,1,TOB,24h,n,0.75
H14,1,TOB,24h,y,0.75
H14,2,TOB,24h,n,1
H14,2,TOB,24h,y,1
H14,3,TOB,24h,n,1.5
H14,3,TOB,24h,y,1.5
H14,1,MER,24h,n,0.012
H14,1,MER,24h,y,0.012
H14,2,MER,24h,n,0.012
H14,2,MER,24h,y,0.012
H14,3,MER,24h,n,0.012
H14,3,MER,24h,y,0.012
H14,1,PIT,24h,n,1
H14,1,PIT,24h,y,1
H14,2,PIT,24h,n,0.75
H14,2,PIT,24h,y,0.75
H14,3,PIT,24h,n,1.5
H14,3,PIT,24h,y,1.5
H14,1,COL,24h,n,2
H14,1,COL,24h,y,2
H14,2,COL,24h,n,3
H14,2,COL,24h,y,12
H14,3,COL,24h,n,2
H14,3,COL,24h,y,2
H14,1,AMI,24h,n,4
H14,1,AMI,24h,y,4
H14,2,AMI,24h,n,4
H14,2,AMI,24h,y,4
H14,3,AMI,24h,n,3
H14,3,AMI,24h,y,3
H14,1,CTZ,24h,n,0.5
H14,1,CTZ,24h,y,1.5
H14,2,CTZ,24h,n,0.75
H14,2,CTZ,24h,y,1
H14,3,CTZ,24h,n,0.38
H14,3,CTZ,24h,y,0.5
H14,1,CTT,24h,n,0.38
H14,1,CTT,24h,y,0.38
H14,2,CTT,24h,n,0.38
H14,2,CTT,24h,y,0.38
H14,3,CTT,24h,n,0.38
H14,3,CTT,24h,y,0.38
H14,1,CIP,48h,n,0.094
H14,1,CIP,48h,y,0.094
H14,2,CIP,48h,n,0.064
H14,2,CIP,48h,y,0.064
H14,3,CIP,48h,n,0.047
H14,3,CIP,48h,y,0.047
H14,1,GEN,48h,n,1.5
H14,1,GEN,48h,y,1.5
H14,2,GEN,48h,n,2
H14,2,GEN,48h,y,2
H14,3,GEN,48h,n,1.5
H14,3,GEN,48h,y,1.5
H14,1,TOB,48h,n,0.75
H14,1,TOB,48h,y,0.75
H14,2,TOB,48h,n,1
H14,2,TOB,48h,y,1
H14,3,TOB,48h,n,1.5
H14,3,TOB,48h,y,1.5
H14,1,MER,48h,n,0.012
H14,1,MER,48h,y,0.012
H14,2,MER,48h,n,0.012
H14,2,MER,48h,y,0.012
H14,3,MER,48h,n,0.012
H14,3,MER,48h,y,0.012
H14,1,PIT,48h,n,0.75
H14,1,PIT,48h,y,0.75
H14,2,PIT,48h,n,0.75
H14,2,PIT,48h,y,0.75
H14,3,PIT,48h,n,1.5
H14,3,PIT,48h,y,1.5
H14,1,COL,48h,n,2
H14,1,COL,48h,y,2
H14,2,COL,48h,n,3
H14,2,COL,48h,y,12
H14,3,COL,48h,n,2
H14,3,COL,48h,y,4
H14,1,AMI,48h,n,4
H14,1,AMI,48h,y,4
H14,2,AMI,48h,n,4
H14,2,AMI,48h,y,4
H14,3,AMI,48h,n,3
H14,3,AMI,48h,y,3
H14,1,CTZ,48h,n,0.5
H14,1,CTZ,48h,y,1.5
H14,2,CTZ,48h,n,0.75
H14,2,CTZ,48h,y,1
H14,3,CTZ,48h,n,0.38
H14,3,CTZ,48h,y,0.5
H14,1,CTT,48h,n,0.38
H14,1,CTT,48h,y,0.38
H14,2,CTT,48h,n,0.38
H14,2,CTT,48h,y,0.38
H14,3,CTT,48h,n,0.38
H14,3,CTT,48h,y,0.38
H15,1,CIP,24h,n,0.032
H15,1,CIP,24h,y,0.064
H15,2,CIP,24h,n,0.064
H15,2,CIP,24h,y,0.125
H15,3,CIP,24h,n,0.064
H15,3,CIP,24h,y,0.125
H15,1,GEN,24h,n,1
H15,1,GEN,24h,y,1
H15,2,GEN,24h,n,1.5
H15,2,GEN,24h,y,1.5
H15,3,GEN,24h,n,0.75
H15,3,GEN,24h,y,0.75
H15,1,TOB,24h,n,0.75
H15,1,TOB,24h,y,0.75
H15,2,TOB,24h,n,0.75
H15,2,TOB,24h,y,0.75
H15,3,TOB,24h,n,1
H15,3,TOB,24h,y,1
H15,1,MER,24h,n,0.032
H15,1,MER,24h,y,0.032
H15,2,MER,24h,n,0.023
H15,2,MER,24h,y,0.023
H15,3,MER,24h,n,0.023
H15,3,MER,24h,y,0.023
H15,1,PIT,24h,n,0.5
H15,1,PIT,24h,y,0.5
H15,2,PIT,24h,n,0.75
