strain,replicate,drug,mic
H01,1,CTT,2
H01,1,CTV,8
H01,1,CID,0.064
H01,1,COL,2
H01,2,CTT,2
H01,2,CTV,8
H01,2,CID,0.064
H01,2,COL,2
H01,3,CTT,2
H01,3,CTV,8
H01,3,CID,0.064
H01,3,COL,2
H02,1,CTT,1
H02,1,CTV,4
H02,1,CID,0.047
H02,1,COL,4
H02,2,CTT,1
H02,2,CTV,4
H02,2,CID,0.023
H02,2,COL,3
H02,3,CTT,0.75
H02,3,CTV,3
H02,3,CID,0.047
H02,3,COL,3
H03,1,CTT,2
H03,1,CTV,6
H03,1,CID,0.047
H03,1,COL,3
H03,2,CTT,3
H03,2,CTV,6
H03,2,CID,0.047
H03,2,COL,3
H03,3,CTT,2
H03,3,CTV,6
H03,3,CID,0.064
H03,3,COL,3
H04,1,CTT,0.75
H04,1,CTV,1
H04,1,CID,0.094
H04,1,COL,2
H04,2,CTT,0.75
H04,2,CTV,1.5
H04,2,CID,0.094
H04,2,COL,2
H04,3,CTT,0.75
H04,3,CTV,1.5
H04,3,CID,0.094
H04,3,COL,2
H05,1,CTT,1
H05,1,CTV,3
H05,1,CID,0.047
H05,1,COL,3
H05,2,CTT,1
H05,2,CTV,3
H05,2,CID,0.064
H05,2,COL,3
H05,3,CTT,1
H05,3,CTV,4
H05,3,CID,0.047
H05,3,COL,3
H06,1,CTT,1
H06,1,CTV,1
H06,1,CID,0.064
H06,1,COL,4
H06,2,CTT,1.5
H06,2,CTV,0.75
H06,2,CID,0.064
H06,2,COL,4
H06,3,CTT,1
H06,3,CTV,1
H06,3,CID,0.064
H06,3,COL,3
H07,1,CTT,1
H07,1,CTV,1.5
H07,1,CID,0.064
H07,1,COL,3
H07,2,CTT,1
H07,2,CTV,2
H07,2,CID,0.047
H07,2,COL,3
H07,3,CTT,1.5
H07,3,CTV,2
H07,3,CID,0.064
H07,3,COL,3
H08,1,CTT,1
H08,1,CTV,3
H08,1,CID,0.023
H08,1,COL,4
H08,2,CTT,1
H08,2,CTV,3
H08,2,CID,0.032
H08,2,COL,4
H08,3,CTT,1
H08,3,CTV,3
H08,3,CID,0.032
H08,3,COL,3
H09,1,CTT,1
H09,1,CTV,2
H09,1,CID,0.032
H09,1,COL,2
H09,2,CTT,1
H09,2,CTV,2
H09,2,CID,0.032
H09,2,COL,2
H09,3,CTT,1
H09,3,CTV,2
H09,3,CID,0.032
H09,3,COL,3
H10,1,CTT,0.75
H10,1,CTV,2
H10,1,CID,0.064
H10,1,COL,4
H10,2,CTT,1
H10,2,CTV,1.5
H10,2,CID,0.047
H10,2,COL,3
H10,3,CTT,0.75
H10,3,CTV,1.5
H10,3,CID,0.064
H10,3,COL,3
H11,1,CTT,2
H11,1,CTV,4
H11,1,CID,0.064
H11,1,COL,3
H11,2,CTT,1
H11,2,CTV,4
H11,2,CID,0.094
H11,2,COL,3
H11,3,CTT,1.5
H11,3,CTV,4
H11,3,CID,0.125
H11,3,COL,4
H12,1,CTT,1
H12,1,CTV,2
H12,1,CID,0.064
H12,1,COL,4
H12,2,CTT,1.5
H12,2,CTV,3
H12,2,CID,0.125
H12,2,COL,4
H12,3,CTT,1.5
H12,3,CTV,3
H12,3,CID,0.094
H12,3,COL,4
H13,1,CTT,0.75
H13,1,CTV,1.5
H13,1,CID,0.25
H13,1,COL,4
H13,2,CTT,1.5
H13,2,CTV,2
H13,2,CID,0.19
H13,2,COL,4
H13,3,CTT,0.75
H13,3,CTV,2
H13,3,CID,NA
H13,3,COL,4
H14,1,CTT,0.5
H14,1,CTV,0.75
H14,1,CID,0.016
H14,1,COL,3
H14,2,CTT,0.75
H14,2,CTV,1
H14,2,CID,0.016
H14,2,COL,3
H14,3,CTT,0.5
H14,3,CTV,0.75
H14,3,CID,0.016
H14,3,COL,4
H15,1,CTT,0.125
H15,1,CTV,0.38
H15,1,CID,0.064
H15,1,COL,3
H15,2,CTT,0.25
H15,2,CTV,0.5
H15,2,CID,0.047
H15,2,COL,4
H15,3,CTT,0.094
H15,3,CTV,0.75
H15,3,CID,0.064
H15,3,COL,3
H16,1,CTT,1
H16,1,CTV,1
H16,1,CID,0.032
H16,1,COL,3
H16,2,CTT,0.75
H16,2,CTV,1.5
H16,2,CID,0.047
H16,2,COL,1
H16,3,CTT,1
H16,3,CTV,2
H16,3,CID,NA
H16,3,COL,1.5
H17,1,CTT,1
H17,1,CTV,2
H17,1,CID,0.016
H17,1,COL,4
H17,2,CTT,0.75
H17,2,CTV,4
H17,2,CID,0.064
H17,2,COL,3
H17,3,CTT,2
H17,3,CTV,3
H17,3,CID,0.016
H17,3,COL,4
H18,1,CTT,0.75
H18,1,CTV,1.5
H18,1,CID,0.094
H18,1,COL,2
H18,2,CTT,1.5
H18,2,CTV,1.5
H18,2,CID,0.064
H18,2,COL,3
H18,3,CTT,1
H18,3,CTV,1.5
H18,3,CID,0.064
H18,3,COL,3
H19,1,CTT,2
H19,1,CTV,2
H19,1,CID,NA
H19,1,COL,6
H19,2,CTT,2
H19,2,CTV,3
H19,2,CID,0.032
H19,2,COL,1.5
H19,3,CTT,1.5
H19,3,CTV,2
H19,3,CID,0.032
H19,3,COL,4
H20,1,CTT,1.5
H20,1,CTV,1.5
H20,1,CID,0.125
H20,1,COL,4
H20,2,CTT,0.75
H20,2,CTV,1.5
H20,2,CID,0.25
H20,2,COL,3
H20,3,CTT,0.75
H20,3,CTV,2
H20,3,CID,0.25
H20,3,COL,3
PA14,1,CTT,0.75
PA14,1,CTV,1
PA14,1,CID,0.19
PA14,1,COL,4
PA14,2,CTT,1
PA14,2,CTV,1.5
PA14,2,CID,0.125
PA14,2,COL,3
PA14,3,CTT,1
PA14,3,CTV,2
PA14,3,CID,0.064
PA14,3,COL,4
PAO1,1,CTT,1
PAO1,1,CTV,1
PAO1,1,CID,0.047
PAO1,1,COL,3
PAO1,2,CTT,0.75
PAO1,2,CTV,1
PAO1,2,CID,0.047
PAO1,2,COL,3
PAO1,3,CTT,1
PAO1,3,CTV,1.5
PAO1,3,CID,NA
PAO1,3,COL,1.5
