strain,replicate,time,drug,microcol,mic
PAO1,1,24h,CIP,n,0.094
PAO1,1,24h,CIP,y,0.094
PAO1,2,24h,CIP,n,0.125
PAO1,2,24h,CIP,y,0.125
PAO1,3,24h,CIP,n,0.047
PAO1,3,24h,CIP,y,0.047
PAO1,1,24h,GEN,n,1.5
PAO1,1,24h,GEN,y,1.5
PAO1,2,24h,GEN,n,0.75
PAO1,2,24h,GEN,y,1
PAO1,3,24h,GEN,n,1.5
PAO1,3,24h,GEN,y,1.5
PAO1,1,24h,TOB,n,1.5
PAO1,1,24h,TOB,y,1.5
PAO1,2,24h,TOB,n,2
PAO1,2,24h,TOB,y,2
PAO1,3,24h,TOB,n,1.5
PAO1,3,24h,TOB,y,1.5
PAO1,1,24h,MER,n,0.032
PAO1,1,24h,MER,y,0.047
PAO1,2,24h,MER,n,0.023
PAO1,2,24h,MER,y,0.023
PAO1,3,24h,MER,n,0.047
PAO1,3,24h,MER,y,0.094
PAO1,1,24h,PIT,n,3
PAO1,1,24h,PIT,y,3
PAO1,2,24h,PIT,n,2
PAO1,2,24h,PIT,y,2
PAO1,3,24h,PIT,n,2
PAO1,3,24h,PIT,y,2
PAO1,1,24h,COL,n,3
PAO1,1,24h,COL,y,3
PAO1,2,24h,COL,n,3
PAO1,2,24h,COL,y,3
PAO1,3,24h,COL,n,3
PAO1,3,24h,COL,y,3
PAO1,4,24h,COL,n,3
PAO1,4,24h,COL,y,3
PAO1,5,24h,COL,n,4
PAO1,5,24h,COL,y,4
PAO1,6,24h,COL,n,3
PAO1,6,24h,COL,y,3
PAO1,1,24h,CTT,n,0.38
PAO1,1,24h,CTT,y,0.38
PAO1,2,24h,CTT,n,0.25
PAO1,2,24h,CTT,y,0.25
PAO1,3,24h,CTT,n,0.38
PAO1,3,24h,CTT,y,0.38
PAO1,4,24h,CTT,n,0.38
PAO1,4,24h,CTT,y,0.38
PAO1,5,24h,CTT,n,0.25
PAO1,5,24h,CTT,y,0.25
PAO1,6,24h,CTT,n,0.25
PAO1,6,24h,CTT,y,0.25
PAO1,1,24h,AMI,n,4
PAO1,1,24h,AMI,y,12
PAO1,2,24h,AMI,n,3
PAO1,2,24h,AMI,y,3
PAO1,3,24h,AMI,n,4
PAO1,3,24h,AMI,y,4
PAO1,4,24h,AMI,n,4
PAO1,4,24h,AMI,y,4
PAO1,5,24h,AMI,n,4
PAO1,5,24h,AMI,y,6
PAO1,6,24h,AMI,n,3
PAO1,6,24h,AMI,y,3
PAO1,1,24h,CTZ,n,0.75
PAO1,1,24h,CTZ,y,0.75
PAO1,2,24h,CTZ,n,0.5
PAO1,2,24h,CTZ,y,0.75
PAO1,3,24h,CTZ,n,0.5
PAO1,3,24h,CTZ,y,0.5
PAO1,1,48h,CIP,n,0.125
PAO1,1,48h,CIP,y,0.125
PAO1,2,48h,CIP,n,0.125
PAO1,2,48h,CIP,y,0.125
PAO1,3,48h,CIP,n,0.047
PAO1,3,48h,CIP,y,0.047
PAO1,1,48h,GEN,n,1.5
PAO1,1,48h,GEN,y,1.5
PAO1,2,48h,GEN,n,0.75
PAO1,2,48h,GEN,y,1
PAO1,3,48h,GEN,n,1.5
PAO1,3,48h,GEN,y,1.5
PAO1,1,48h,TOB,n,1.5
PAO1,1,48h,TOB,y,1.5
PAO1,2,48h,TOB,n,2
PAO1,2,48h,TOB,y,2
PAO1,3,48h,TOB,n,1.5
PAO1,3,48h,TOB,y,1.5
PAO1,1,48h,MER,n,0.032
PAO1,1,48h,MER,y,0.047
PAO1,2,48h,MER,n,0.023
PAO1,2,48h,MER,y,0.032
PAO1,3,48h,MER,n,0.047
PAO1,3,48h,MER,y,0.064
PAO1,1,48h,PIT,n,2
PAO1,1,48h,PIT,y,2
PAO1,2,48h,PIT,n,2
PAO1,2,48h,PIT,y,2
PAO1,3,48h,PIT,n,2
PAO1,3,48h,PIT,y,2
PAO1,1,48h,COL,n,3
PAO1,1,48h,COL,y,3
PAO1,2,48h,COL,n,3
PAO1,2,48h,COL,y,3
PAO1,3,48h,COL,n,3
PAO1,3,48h,COL,y,3
PAO1,4,48h,COL,n,3
PAO1,4,48h,COL,y,3
PAO1,5,48h,COL,n,4
PAO1,5,48h,COL,y,4
PAO1,6,48h,COL,n,3
PAO1,6,48h,COL,y,3
PAO1,1,48h,CTT,n,0.38
PAO1,1,48h,CTT,y,0.38
PAO1,2,48h,CTT,n,0.25
PAO1,2,48h,CTT,y,0.25
PAO1,3,48h,CTT,n,0.38
PAO1,3,48h,CTT,y,0.38
PAO1,4,48h,CTT,n,0.38
PAO1,4,48h,CTT,y,0.38
PAO1,5,48h,CTT,n,0.25
PAO1,5,48h,CTT,y,0.25
PAO1,6,48h,CTT,n,0.25
PAO1,6,48h,CTT,y,0.25
PAO1,1,48h,AMI,n,6
PAO1,1,48h,AMI,y,12
PAO1,2,48h,AMI,n,3
PAO1,2,48h,AMI,y,3
PAO1,3,48h,AMI,n,4
PAO1,3,48h,AMI,y,4
PAO1,4,48h,AMI,n,4
PAO1,4,48h,AMI,y,4
PAO1,5,48h,AMI,n,4
PAO1,5,48h,AMI,y,6
PAO1,6,48h,AMI,n,4
PAO1,6,48h,AMI,y,12
PAO1,1,48h,CTZ,n,1
PAO1,1,48h,CTZ,y,1
PAO1,2,48h,CTZ,n,0.75
PAO1,2,48h,CTZ,y,0.75
PAO1,3,48h,CTZ,n,0.75
PAO1,3,48h,CTZ,y,0.75
PA14,1,24h,CIP,n,0.094
PA14,1,24h,CIP,y,0.094
PA14,2,24h,CIP,n,0.125
PA14,2,24h,CIP,y,0.125
PA14,3,24h,CIP,n,0.094
PA14,3,24h,CIP,y,0.094
PA14,1,24h,GEN,n,0.75
PA14,1,24h,GEN,y,0.75
PA14,2,24h,GEN,n,1
PA14,2,24h,GEN,y,1
PA14,3,24h,GEN,n,0.75
PA14,3,24h,GEN,y,0.75
PA14,1,24h,TOB,n,1.5
PA14,1,24h,TOB,y,1.5
PA14,2,24h,TOB,n,1
PA14,2,24h,TOB,y,1
PA14,3,24h,TOB,n,0.75
PA14,3,24h,TOB,y,0.75
PA14,1,24h,MER,n,0.016
PA14,1,24h,MER,y,0.016
PA14,2,24h,MER,n,0.023
PA14,2,24h,MER,y,0.023
PA14,3,24h,MER,n,0.023
PA14,3,24h,MER,y,0.023
PA14,1,24h,PIT,n,2
PA14,1,24h,PIT,y,2
PA14,2,24h,PIT,n,1.5
PA14,2,24h,PIT,y,1.5
PA14,3,24h,PIT,n,2
PA14,3,24h,PIT,y,2
PA14,1,24h,COL,n,4
PA14,1,24h,COL,y,4
PA14,2,24h,COL,n,2
PA14,2,24h,COL,y,2
PA14,3,24h,COL,n,3
PA14,3,24h,COL,y,3
PA14,1,24h,AMI,n,3
PA14,1,24h,AMI,y,6
PA14,2,24h,AMI,n,4
PA14,2,24h,AMI,y,4
PA14,3,24h,AMI,n,1.5
PA14,3,24h,AMI,y,1.5
PA14,1,24h,CTZ,n,1
PA14,1,24h,CTZ,y,1.5
PA14,2,24h,CTZ,n,1
PA14,2,24h,CTZ,y,2
PA14,3,24h,CTZ,n,0.38
PA14,3,24h,CTZ,y,1
PA14,3,24h,CTT,n,0.5
PA14,3,24h,CTT,y,0.5
PA14,3,24h,CTT,n,0.75
PA14,3,24h,CTT,y,3
PA14,3,24h,CTT,n,0.38
PA14,3,24h,CTT,y,0.85
PA14,1,48h,CIP,n,0.094
PA14,1,48h,CIP,y,0.19
PA14,2,48h,CIP,n,0.094
PA14,2,48h,CIP,y,0.094
PA14,3,48h,CIP,n,0.125
PA14,3,48h,CIP,y,0.25
PA14,1,48h,GEN,n,0.75
PA14,1,48h,GEN,y,0.75
PA14,2,48h,GEN,n,1
PA14,2,48h,GEN,y,1
PA14,3,48h,GEN,n,0.75
PA14,3,48h,GEN,y,0.75
PA14,1,48h,TOB,n,1.5
PA14,1,48h,TOB,y,1.5
PA14,2,48h,TOB,n,0.75
PA14,2,48h,TOB,y,0.75
PA14,3,48h,TOB,n,0.75
PA14,3,48h,TOB,y,0.75
PA14,1,48h,MER,n,0.016
PA14,1,48h,MER,y,0.016
PA14,2,48h,MER,n,0.023
PA14,2,48h,MER,y,0.023
PA14,3,48h,MER,n,0.023
PA14,3,48h,MER,y,0.023
PA14,1,48h,PIT,n,2
PA14,1,48h,PIT,y,2
PA14,2,48h,PIT,n,1.5
PA14,2,48h,PIT,y,1.5
PA14,3,48h,PIT,n,2
PA14,3,48h,PIT,y,2
PA14,1,48h,COL,n,4
PA14,1,48h,COL,y,4
PA14,2,48h,COL,n,2
PA14,2,48h,COL,y,2
PA14,3,48h,COL,n,3
PA14,3,48h,COL,y,3
PA14,1,48h,AMI,n,3
PA14,1,48h,AMI,y,6
PA14,2,48h,AMI,n,4
PA14,2,48h,AMI,y,4
PA14,3,48h,AMI,n,2
PA14,3,48h,AMI,y,3
PA14,1,48h,CTZ,n,1
PA14,1,48h,CTZ,y,1.5
PA14,2,48h,CTZ,n,1
PA14,2,48h,CTZ,y,2
PA14,3,48h,CTZ,n,0.38
PA14,3,48h,CTZ,y,1
PA14,1,48h,CTT,n,0.5
PA14,1,48h,CTT,y,0.5
PA14,2,48h,CTT,n,0.75
PA14,2,48h,CTT,y,3
PA14,3,48h,CTT,n,0.38
PA14,3,48h,CTT,y,0.85
H01,1,24h,CIP,n,0.75
H01,1,24h,CIP,y,0.75
H01,2,24h,CIP,n,0.75
H01,2,24h,CIP,y,0.75
H01,3,24h,CIP,n,0.75
H01,3,24h,CIP,y,0.75
H01,1,24h,GEN,n,256
H01,1,24h,GEN,y,256
H01,2,24h,GEN,n,256
H01,2,24h,GEN,y,256
H01,3,24h,GEN,n,256
H01,3,24h,GEN,y,256
H01,1,24h,TOB,n,256
H01,1,24h,TOB,y,256
H01,2,24h,TOB,n,256
H01,2,24h,TOB,y,256
H01,3,24h,TOB,n,256
H01,3,24h,TOB,y,192
H01,1,24h,MER,n,0.38
H01,1,24h,MER,y,0.38
H01,2,24h,MER,n,0.125
H01,2,24h,MER,y,0.125
H01,3,24h,MER,n,0.25
H01,3,24h,MER,y,0.25
H01,1,24h,PIT,n,12
H01,1,24h,PIT,y,12
H01,2,24h,PIT,n,12
H01,2,24h,PIT,y,12
H01,3,24h,PIT,n,16
H01,3,24h,PIT,y,16
H01,1,24h,COL,n,1.5
H01,1,24h,COL,y,1.5
H01,2,24h,COL,n,2
H01,2,24h,COL,y,6
H01,3,24h,COL,n,2
H01,3,24h,COL,y,2
H01,1,24h,AMI,n,16
H01,1,24h,AMI,y,32
H01,2,24h,AMI,n,24
H01,2,24h,AMI,y,24
H01,3,24h,AMI,n,48
H01,3,24h,AMI,y,48
H01,1,24h,CTZ,n,6
H01,1,24h,CTZ,y,6
H01,2,24h,CTZ,n,4
H01,2,24h,CTZ,y,4
H01,3,24h,CTZ,n,4
H01,3,24h,CTZ,y,4
H01,1,24h,CTT,n,1
H01,1,24h,CTT,y,1
H01,2,48h,CTT,n,0.75
H01,2,48h,CTT,y,0.75
H01,3,48h,CTT,n,0.75
H01,3,48h,CTT,y,0.75
H01,1,48h,CIP,n,0.75
H01,1,48h,CIP,y,0.75
H01,2,48h,CIP,n,1
H01,2,48h,CIP,y,1
H01,3,48h,CIP,n,0.75
H01,3,48h,CIP,y,0.75
H01,1,48h,GEN,n,256
H01,1,48h,GEN,y,256
H01,2,48h,GEN,n,256
H01,2,48h,GEN,y,256
H01,3,48h,GEN,n,256
H01,3,48h,GEN,y,256
H01,1,48h,TOB,n,256
H01,1,48h,TOB,y,256
H01,2,48h,TOB,n,256
H01,2,48h,TOB,y,256
H01,3,48h,TOB,n,256
H01,3,48h,TOB,y,256
H01,1,48h,MER,n,0.25
H01,1,48h,MER,y,0.25
H01,2,48h,MER,n,0.125
H01,2,48h,MER,y,0.125
H01,3,48h,MER,n,0.25
H01,3,48h,MER,y,0.25
H01,1,48h,PIT,n,12
H01,1,48h,PIT,y,12
H01,2,48h,PIT,n,12
H01,2,48h,PIT,y,12
H01,3,48h,PIT,n,16
H01,3,48h,PIT,y,16
H01,1,48h,COL,n,1.5
H01,1,48h,COL,y,1.5
H01,2,48h,COL,n,2
H01,2,48h,COL,y,6
H01,3,48h,COL,n,2
H01,3,48h,COL,y,2
H01,1,48h,AMI,n,16
H01,1,48h,AMI,y,64
H01,2,48h,AMI,n,24
H01,2,48h,AMI,y,48
H01,3,48h,AMI,n,48
H01,3,48h,AMI,y,48
H01,1,48h,CTZ,n,6
H01,1,48h,CTZ,y,6
H01,2,48h,CTZ,n,4
H01,2,48h,CTZ,y,4
H01,3,48h,CTZ,n,4
H01,3,48h,CTZ,y,4
H01,1,48h,CTT,n,1
H01,1,48h,CTT,y,1
H01,2,48h,CTT,n,0.75
H01,2,48h,CTT,y,0.75
H01,3,48h,CTT,n,0.75
H01,3,48h,CTT,y,0.75
H01,4,24h,CIP,n,0.5
H01,4,24h,CIP,y,0.5
H01,5,24h,CIP,n,0.75
H01,5,24h,CIP,y,0.75
H01,6,24h,CIP,n,0.75
H01,6,24h,CIP,y,0.75
H01,4,24h,GEN,n,256
H01,4,24h,GEN,y,256
H01,5,24h,GEN,n,256
H01,5,24h,GEN,y,256
H01,6,24h,GEN,n,256
H01,6,24h,GEN,y,256
H01,4,24h,TOB,n,256
H01,4,24h,TOB,y,256
H01,5,24h,TOB,n,256
H01,5,24h,TOB,y,256
H01,6,24h,TOB,n,192
H01,6,24h,TOB,y,192
H01,4,24h,MER,n,0.25
H01,4,24h,MER,y,0.25
H01,5,24h,MER,n,0.25
H01,5,24h,MER,y,0.25
H01,6,24h,MER,n,0.25
H01,6,24h,MER,y,0.25
H01,4,24h,PIT,n,6
H01,4,24h,PIT,y,6
H01,5,24h,PIT,n,12
H01,5,24h,PIT,y,12
H01,6,24h,PIT,n,12
H01,6,24h,PIT,y,12
H01,4,48h,CIP,n,0.75
H01,4,48h,CIP,y,0.75
H01,5,48h,CIP,n,0.5
H01,5,48h,CIP,y,0.5
H01,6,48h,CIP,n,0.75
H01,6,48h,CIP,y,0.75
H01,4,48h,GEN,n,256
H01,4,48h,GEN,y,256
H01,5,48h,GEN,n,256
H01,5,48h,GEN,y,256
H01,6,48h,GEN,n,256
H01,6,48h,GEN,y,256
H01,4,48h,TOB,n,256
H01,4,48h,TOB,y,256
H01,5,48h,TOB,n,256
H01,5,48h,TOB,y,256
H01,6,48h,TOB,n,256
H01,6,48h,TOB,y,256
H01,4,48h,MER,n,0.25
H01,4,48h,MER,y,0.25
H01,5,48h,MER,n,0.25
H01,5,48h,MER,y,0.25
H01,6,48h,MER,n,0.25
H01,6,48h,MER,y,0.25
H01,4,48h,PIT,n,6
H01,4,48h,PIT,y,6
H01,5,48h,PIT,n,12
H01,5,48h,PIT,y,12
H01,6,48h,PIT,n,12
H01,6,48h,PIT,y,12
H02,1,24h,CIP,n,0.19
H02,1,24h,CIP,y,0.19
H02,2,24h,CIP,n,0.19
H02,2,24h,CIP,y,0.19
H02,3,24h,CIP,n,0.25
H02,3,24h,CIP,y,0.25
H02,1,24h,GEN,n,1
H02,1,24h,GEN,y,1.5
H02,2,24h,GEN,n,2
H02,2,24h,GEN,y,2
H02,3,24h,GEN,n,1.5
H02,3,24h,GEN,y,1.5
H02,1,24h,TOB,n,1.5
H02,1,24h,TOB,y,1.5
H02,2,24h,TOB,n,1
H02,2,24h,TOB,y,1
H02,3,24h,TOB,n,1.5
H02,3,24h,TOB,y,1
H02,1,24h,MER,n,0.047
H02,1,24h,MER,y,0.125
H02,2,24h,MER,n,0.047
H02,2,24h,MER,y,0.094
H02,3,24h,MER,n,0.047
H02,3,24h,MER,y,0.094
H02,1,24h,PIT,n,8
H02,1,24h,PIT,y,12
H02,2,24h,PIT,n,8
H02,2,24h,PIT,y,8
H02,3,24h,PIT,n,8
H02,3,24h,PIT,y,8
H02,1,24h,COL,n,4
H02,1,24h,COL,y,4
H02,2,24h,COL,n,6
H02,2,24h,COL,y,6
H02,3,24h,COL,n,4
H02,3,24h,COL,y,4
H02,1,24h,AMI,n,6
H02,1,24h,AMI,y,6
H02,2,24h,AMI,n,6
H02,2,24h,AMI,y,6
H02,3,24h,AMI,n,8
H02,3,24h,AMI,y,8
H02,1,24h,CTZ,n,2
H02,1,24h,CTZ,y,3
H02,2,24h,CTZ,n,3
H02,2,24h,CTZ,y,4
H02,3,24h,CTZ,n,2
H02,3,24h,CTZ,y,3
H02,1,24h,CTT,n,0.5
H02,1,24h,CTT,y,0.5
H02,2,24h,CTT,n,0.5
H02,2,24h,CTT,y,0.75
H02,3,24h,CTT,n,0.5
H02,3,24h,CTT,y,0.75
H02,1,48h,CIP,n,0.19
H02,1,48h,CIP,y,0.19
H02,2,48h,CIP,n,0.19
H02,2,48h,CIP,y,0.19
H02,3,48h,CIP,n,0.25
H02,3,48h,CIP,y,0.25
H02,1,48h,GEN,n,1
H02,1,48h,GEN,y,1
H02,2,48h,GEN,n,2
H02,2,48h,GEN,y,2
H02,3,48h,GEN,n,1.5
H02,3,48h,GEN,y,1.5
H02,1,48h,TOB,n,1.5
H02,1,48h,TOB,y,1.5
H02,2,48h,TOB,n,1
H02,2,48h,TOB,y,1
H02,3,48h,TOB,n,1.5
H02,3,48h,TOB,y,1.5
H02,1,48h,MER,n,0.047
H02,1,48h,MER,y,0.125
H02,2,48h,MER,n,0.047
H02,2,48h,MER,y,0.094
H02,3,48h,MER,n,0.047
H02,3,48h,MER,y,0.094
H02,1,48h,PIT,n,8
H02,1,48h,PIT,y,12
H02,2,48h,PIT,n,8
H02,2,48h,PIT,y,8
H02,3,48h,PIT,n,8
H02,3,48h,PIT,y,8
H02,1,48h,COL,n,4
H02,1,48h,COL,y,12
H02,2,48h,COL,n,6
H02,2,48h,COL,y,6
H02,3,48h,COL,n,4
H02,3,48h,COL,y,4
H02,1,48h,AMI,n,6
H02,1,48h,AMI,y,6
H02,2,48h,AMI,n,6
H02,2,48h,AMI,y,6
H02,3,48h,AMI,n,8
H02,3,48h,AMI,y,8
H02,1,48h,CTZ,n,2
H02,1,48h,CTZ,y,3
H02,2,48h,CTZ,n,3
H02,2,48h,CTZ,y,4
H02,3,48h,CTZ,n,2
H02,3,48h,CTZ,y,3
H02,1,48h,CTT,n,0.5
H02,1,48h,CTT,y,0.5
H02,2,48h,CTT,n,0.5
H02,2,48h,CTT,y,0.75
H02,3,48h,CTT,n,0.5
H02,3,48h,CTT,y,0.75
H03,1,24h,CIP,n,32
H03,1,24h,CIP,y,32
H03,2,24h,CIP,n,32
H03,2,24h,CIP,y,32
H03,3,24h,CIP,n,32
H03,3,24h,CIP,y,32
H03,1,24h,GEN,n,64
H03,1,24h,GEN,y,64
H03,2,24h,GEN,n,32
H03,2,24h,GEN,y,256
H03,3,24h,GEN,n,64
H03,3,24h,GEN,y,256
H03,1,24h,TOB,n,64
H03,1,24h,TOB,y,64
H03,2,24h,TOB,n,48
H03,2,24h,TOB,y,96
H03,3,24h,TOB,n,64
H03,3,24h,TOB,y,64
H03,1,24h,MER,n,0.094
H03,1,24h,MER,y,0.094
H03,2,24h,MER,n,0.125
H03,2,24h,MER,y,0.125
H03,3,24h,MER,n,0.19
H03,3,24h,MER,y,0.5
H03,1,24h,PIT,n,12
H03,1,24h,PIT,y,12
H03,2,24h,PIT,n,12
H03,2,24h,PIT,y,12
H03,3,24h,PIT,n,12
H03,3,24h,PIT,y,12
H03,1,24h,COL,n,2
H03,1,24h,COL,y,2
H03,2,24h,COL,n,2
H03,2,24h,COL,y,2
H03,3,24h,COL,n,2
H03,3,24h,COL,y,2
H03,1,24h,AMI,n,24
H03,1,24h,AMI,y,64
H03,2,24h,AMI,n,24
H03,2,24h,AMI,y,48
H03,3,24h,AMI,n,32
H03,3,24h,AMI,y,48
H03,1,24h,CTZ,n,6
H03,1,24h,CTZ,y,8
H03,2,24h,CTZ,n,3
H03,2,24h,CTZ,y,3
H03,3,24h,CTZ,n,12
H03,3,24h,CTZ,y,12
H03,1,24h,CTT,n,0.38
H03,1,24h,CTT,y,0.38
H03,2,24h,CTT,n,0.25
H03,2,24h,CTT,y,0.25
H03,3,24h,CTT,n,0.5
H03,3,24h,CTT,y,0.5
H03,1,48h,CIP,n,32
H03,1,48h,CIP,y,32
H03,2,48h,CIP,n,32
H03,2,48h,CIP,y,32
H03,3,48h,CIP,n,32
H03,3,48h,CIP,y,32
H03,1,48h,GEN,n,32
H03,1,48h,GEN,y,256
H03,2,48h,GEN,n,64
H03,2,48h,GEN,y,64
H03,3,48h,GEN,n,64
H03,3,48h,GEN,y,256
H03,1,48h,TOB,n,32
H03,1,48h,TOB,y,96
H03,2,48h,TOB,n,64
H03,2,48h,TOB,y,64
H03,3,48h,TOB,n,64
H03,3,48h,TOB,y,64
H03,1,48h,MER,n,0.094
H03,1,48h,MER,y,0.19
H03,2,48h,MER,n,0.125
H03,2,48h,MER,y,0.19
H03,3,48h,MER,n,0.19
