strain,replicate,time,drug,microcol,mic
H09,1,48h,CIP,n,0.125
H09,1,48h,CIP,y,0.19
H09,2,48h,CIP,n,0.125
H09,2,48h,CIP,y,0.19
H09,3,48h,CIP,n,0.094
H09,3,48h,CIP,y,0.125
H09,1,48h,GEN,n,2
H09,1,48h,GEN,y,2
H09,2,48h,GEN,n,2
H09,2,48h,GEN,y,2
H09,3,48h,GEN,n,2
H09,3,48h,GEN,y,2
H09,1,48h,TOB,n,1.5
H09,1,48h,TOB,y,1.5
H09,2,48h,TOB,n,1.5
H09,2,48h,TOB,y,1.5
H09,3,48h,TOB,n,2
H09,3,48h,TOB,y,2
H09,1,48h,MER,n,0.023
H09,1,48h,MER,y,0.023
H09,2,48h,MER,n,0.032
H09,2,48h,MER,y,0.032
H09,3,48h,MER,n,0.032
H09,3,48h,MER,y,0.032
H09,1,48h,PIT,n,2
H09,1,48h,PIT,y,2
H09,2,48h,PIT,n,3
H09,2,48h,PIT,y,3
H09,3,48h,PIT,n,3
H09,3,48h,PIT,y,3
H09,1,48h,COL,n,4
H09,1,48h,COL,y,4
H09,2,48h,COL,n,4
H09,2,48h,COL,y,4
H09,3,48h,COL,n,2
H09,3,48h,COL,y,2
H09,1,48h,AMI,n,32
H09,1,48h,AMI,y,32
H09,2,48h,AMI,n,24
H09,2,48h,AMI,y,24
H09,3,48h,AMI,n,8
H09,3,48h,AMI,y,8
H09,1,48h,CTZ,n,0.75
H09,1,48h,CTZ,y,0.75
H09,2,48h,CTZ,n,1.5
H09,2,48h,CTZ,y,1.5
H09,3,48h,CTZ,n,0.75
H09,3,48h,CTZ,y,0.75
H09,1,48h,CTT,n,0.25
H09,1,48h,CTT,y,0.38
H09,2,48h,CTT,n,0.75
H09,2,48h,CTT,y,0.75
H09,3,48h,CTT,n,0.38
H09,3,48h,CTT,y,0.38
H10,1,24h,CIP,n,0.094
H10,1,24h,CIP,y,0.125
H10,2,24h,CIP,n,0.094
H10,2,24h,CIP,y,0.094
H10,3,24h,CIP,n,0.064
H10,3,24h,CIP,y,0.064
H10,1,24h,GEN,n,0.75
H10,1,24h,GEN,y,0.75
H10,2,24h,GEN,n,0.75
H10,2,24h,GEN,y,0.75
H10,3,24h,GEN,n,1
H10,3,24h,GEN,y,1
H10,1,24h,TOB,n,1.5
H10,1,24h,TOB,y,1.5
H10,2,24h,TOB,n,1.5
H10,2,24h,TOB,y,1.5
H10,3,24h,TOB,n,1.5
H10,3,24h,TOB,y,1.5
H10,1,24h,MER,n,0.016
H10,1,24h,MER,y,0.032
H10,2,24h,MER,n,0.016
H10,2,24h,MER,y,0.023
H10,3,24h,MER,n,0.023
H10,3,24h,MER,y,0.023
H10,1,24h,PIT,n,1.5
H10,1,24h,PIT,y,1.5
H10,2,24h,PIT,n,2
H10,2,24h,PIT,y,2
H10,3,24h,PIT,n,4
H10,3,24h,PIT,y,4
H10,1,24h,COL,n,3
H10,1,24h,COL,y,3
H10,2,24h,COL,n,2
H10,2,24h,COL,y,2
H10,3,24h,COL,n,3
H10,3,24h,COL,y,3
H10,1,24h,AMI,n,8
H10,1,24h,AMI,y,8
H10,2,24h,AMI,n,6
H10,2,24h,AMI,y,8
H10,3,24h,AMI,n,2
H10,3,24h,AMI,y,3
H10,1,24h,CTZ,n,2
H10,1,24h,CTZ,y,3
H10,2,24h,CTZ,n,1.5
H10,2,24h,CTZ,y,2
H10,3,24h,CTZ,n,0.75
H10,3,24h,CTZ,y,1
H10,1,24h,CTT,n,0.19
H10,1,24h,CTT,y,0.25
H10,2,24h,CTT,n,0.5
H10,2,24h,CTT,y,0.5
H10,3,24h,CTT,n,0.5
H10,3,24h,CTT,y,0.5
H10,1,48h,CIP,n,0.094
H10,1,48h,CIP,y,0.125
H10,2,48h,CIP,n,0.094
H10,2,48h,CIP,y,0.094
H10,3,48h,CIP,n,0.064
H10,3,48h,CIP,y,0.064
H10,1,48h,GEN,n,0.75
H10,1,48h,GEN,y,0.75
H10,2,48h,GEN,n,0.75
H10,2,48h,GEN,y,0.75
H10,3,48h,GEN,n,1
H10,3,48h,GEN,y,1
H10,1,48h,TOB,n,1.5
H10,1,48h,TOB,y,1.5
H10,2,48h,TOB,n,1.5
H10,2,48h,TOB,y,1.5
H10,3,48h,TOB,n,1.5
H10,3,48h,TOB,y,1.5
H10,1,48h,MER,n,0.016
H10,1,48h,MER,y,0.016
H10,2,48h,MER,n,0.016
H10,2,48h,MER,y,0.016
H10,3,48h,MER,n,0.023
H10,3,48h,MER,y,0.023
H10,1,48h,PIT,n,1.5
H10,1,48h,PIT,y,1.5
H10,2,48h,PIT,n,1.5
H10,2,48h,PIT,y,1.5
H10,3,48h,PIT,n,4
H10,3,48h,PIT,y,4
H10,1,48h,COL,n,3
H10,1,48h,COL,y,3
H10,2,48h,COL,n,2
H10,2,48h,COL,y,2
H10,3,48h,COL,n,3
H10,3,48h,COL,y,3
H10,1,48h,AMI,n,8
H10,1,48h,AMI,y,8
H10,2,48h,AMI,n,6
H10,2,48h,AMI,y,8
H10,3,48h,AMI,n,2
H10,3,48h,AMI,y,6
H10,1,48h,CTZ,n,2
H10,1,48h,CTZ,y,3
H10,2,48h,CTZ,n,1.5
H10,2,48h,CTZ,y,2
H10,3,48h,CTZ,n,0.75
H10,3,48h,CTZ,y,1
H10,1,48h,CTT,n,0.19
H10,1,48h,CTT,y,0.25
H10,2,48h,CTT,n,0.5
H10,2,48h,CTT,y,0.5
H10,3,48h,CTT,n,0.5
H10,3,48h,CTT,y,0.5
H11,1,24h,CIP,n,32
H11,1,24h,CIP,y,32
H11,2,24h,CIP,n,32
H11,2,24h,CIP,y,32
H11,3,24h,CIP,n,32
H11,3,24h,CIP,y,32
H11,1,24h,GEN,n,1.5
H11,1,24h,GEN,y,1.5
H11,2,24h,GEN,n,1.5
H11,2,24h,GEN,y,1.5
H11,3,24h,GEN,n,1.5
H11,3,24h,GEN,y,1.5
H11,1,24h,TOB,n,2
H11,1,24h,TOB,y,2
H11,2,24h,TOB,n,1.5
H11,2,24h,TOB,y,1.5
H11,3,24h,TOB,n,1.5
H11,3,24h,TOB,y,1.5
H11,1,24h,MER,n,0.094
H11,1,24h,MER,y,0.09
H11,2,24h,MER,n,0.094
H11,2,24h,MER,y,0.125
H11,3,24h,MER,n,0.094
H11,3,24h,MER,y,0.094
H11,1,24h,PIT,n,8
H11,1,24h,PIT,y,8
H11,2,24h,PIT,n,8
H11,2,24h,PIT,y,8
H11,3,24h,PIT,n,8
H11,3,24h,PIT,y,8
H11,1,24h,COL,n,4
H11,1,24h,COL,y,4
H11,2,24h,COL,n,4
H11,2,24h,COL,y,4
H11,3,24h,COL,n,3
H11,3,24h,COL,y,3
H11,1,24h,AMI,n,8
H11,1,24h,AMI,y,12
H11,2,24h,AMI,n,16
H11,2,24h,AMI,y,16
H11,3,24h,AMI,n,12
H11,3,24h,AMI,y,12
H11,1,24h,CTZ,n,4
H11,1,24h,CTZ,y,4
H11,2,24h,CTZ,n,3
H11,2,24h,CTZ,y,3
H11,3,24h,CTZ,n,3
H11,3,24h,CTZ,y,3
H11,1,24h,CTT,n,0.5
H11,1,24h,CTT,y,0.5
H11,2,24h,CTT,n,0.75
H11,2,24h,CTT,y,0.75
H11,3,24h,CTT,n,0.75
H11,3,24h,CTT,y,0.75
H11,1,48h,CIP,n,32
H11,1,48h,CIP,y,32
H11,2,48h,CIP,n,32
H11,2,48h,CIP,y,32
H11,3,48h,CIP,n,32
H11,3,48h,CIP,y,32
H11,1,48h,GEN,n,1.5
H11,1,48h,GEN,y,1.5
H11,2,48h,GEN,n,1.5
H11,2,48h,GEN,y,1.5
H11,3,48h,GEN,n,1.5
H11,3,48h,GEN,y,1.5
H11,1,48h,TOB,n,2
H11,1,48h,TOB,y,2
H11,2,48h,TOB,n,1.5
H11,2,48h,TOB,y,1.5
H11,3,48h,TOB,n,1.5
H11,3,48h,TOB,y,1.5
H11,1,48h,MER,n,0.094
H11,1,48h,MER,y,0.094
H11,2,48h,MER,n,0.094
H11,2,48h,MER,y,0.125
H11,3,48h,MER,n,0.094
H11,3,48h,MER,y,0.125
H11,1,48h,PIT,n,8
H11,1,48h,PIT,y,8
H11,2,48h,PIT,n,8
H11,2,48h,PIT,y,8
H11,3,48h,PIT,n,6
H11,3,48h,PIT,y,6
H11,1,48h,COL,n,4
H11,1,48h,COL,y,4
H11,2,48h,COL,n,4
H11,2,48h,COL,y,4
H11,3,48h,COL,n,3
H11,3,48h,COL,y,3
H11,1,48h,AMI,n,8
H11,1,48h,AMI,y,12
H11,2,48h,AMI,n,16
H11,2,48h,AMI,y,16
H11,3,48h,AMI,n,12
H11,3,48h,AMI,y,12
H11,1,48h,CTZ,n,4
H11,1,48h,CTZ,y,4
H11,2,48h,CTZ,n,3
H11,2,48h,CTZ,y,3
H11,3,48h,CTZ,n,3
H11,3,48h,CTZ,y,3
H11,1,48h,CTT,n,0.5
H11,1,48h,CTT,y,0.5
H11,2,48h,CTT,n,0.75
H11,2,48h,CTT,y,0.75
H11,3,48h,CTT,n,0.75
H11,3,48h,CTT,y,0.75
H12,1,24h,CIP,n,32
H12,1,24h,CIP,y,32
H12,2,24h,CIP,n,32
H12,2,24h,CIP,y,32
H12,3,24h,CIP,n,32
H12,3,24h,CIP,y,32
H12,1,24h,GEN,n,1.5
H12,1,24h,GEN,y,1.5
H12,2,24h,GEN,n,1.5
H12,2,24h,GEN,y,1.5
H12,3,24h,GEN,n,1.5
H12,3,24h,GEN,y,1.5
H12,1,24h,TOB,n,1
H12,1,24h,TOB,y,1.5
H12,2,24h,TOB,n,1.5
H12,2,24h,TOB,y,1.5
H12,3,24h,TOB,n,1.5
H12,3,24h,TOB,y,1.5
H12,1,24h,MER,n,16
H12,1,24h,MER,y,16
H12,2,24h,MER,n,12
H12,2,24h,MER,y,16
H12,3,24h,MER,n,8
H12,3,24h,MER,y,12
H12,1,24h,PIT,n,12
H12,1,24h,PIT,y,12
H12,2,24h,PIT,n,8
H12,2,24h,PIT,y,8
H12,3,24h,PIT,n,6
H12,3,24h,PIT,y,8
H12,1,24h,COL,n,3
H12,1,24h,COL,y,3
H12,2,24h,COL,n,2
H12,2,24h,COL,y,2
H12,3,24h,COL,n,3
H12,3,24h,COL,y,4
H12,1,24h,AMI,n,6
H12,1,24h,AMI,y,6
H12,2,24h,AMI,n,16
H12,2,24h,AMI,y,16
H12,3,24h,AMI,n,6
H12,3,24h,AMI,y,6
H12,1,24h,CTZ,n,1.5
H12,1,24h,CTZ,y,1.5
H12,2,24h,CTZ,n,2
H12,2,24h,CTZ,y,3
H12,3,24h,CTZ,n,6
H12,3,24h,CTZ,y,6
H12,1,24h,CTT,n,0.38
H12,1,24h,CTT,y,0.38
H12,2,24h,CTT,n,0.38
H12,2,24h,CTT,y,0.38
H12,3,24h,CTT,n,0.38
H12,3,24h,CTT,y,0.38
H12,1,48h,CIP,n,32
H12,1,48h,CIP,y,32
H12,2,48h,CIP,n,32
H12,2,48h,CIP,y,32
H12,3,48h,CIP,n,32
H12,3,48h,CIP,y,32
H12,1,48h,GEN,n,1.5
H12,1,48h,GEN,y,1.5
H12,2,48h,GEN,n,1.5
H12,2,48h,GEN,y,1.5
H12,3,48h,GEN,n,1.5
H12,3,48h,GEN,y,1.5
H12,1,48h,TOB,n,1
H12,1,48h,TOB,y,1
H12,2,48h,TOB,n,1.5
H12,2,48h,TOB,y,1.5
H12,3,48h,TOB,n,1.5
H12,3,48h,TOB,y,1.5
H12,1,48h,MER,n,12
H12,1,48h,MER,y,12
H12,2,48h,MER,n,12
H12,2,48h,MER,y,16
H12,3,48h,MER,n,8
H12,3,48h,MER,y,16
H12,1,48h,PIT,n,12
H12,1,48h,PIT,y,12
H12,2,48h,PIT,n,8
H12,2,48h,PIT,y,8
H12,3,48h,PIT,n,6
H12,3,48h,PIT,y,6
H12,1,48h,COL,n,3
H12,1,48h,COL,y,3
H12,2,48h,COL,n,2
H12,2,48h,COL,y,2
H12,3,48h,COL,n,3
H12,3,48h,COL,y,4
H12,1,48h,AMI,n,6
H12,1,48h,AMI,y,6
H12,2,48h,AMI,n,16
H12,2,48h,AMI,y,16
H12,3,48h,AMI,n,6
H12,3,48h,AMI,y,6
H12,1,48h,CTZ,n,1.5
H12,1,48h,CTZ,y,1.5
H12,2,48h,CTZ,n,2
H12,2,48h,CTZ,y,3
H12,3,48h,CTZ,n,6
H12,3,48h,CTZ,y,6
H12,1,48h,CTT,n,0.38
H12,1,48h,CTT,y,0.38
H12,2,48h,CTT,n,0.38
H12,2,48h,CTT,y,0.38
H12,3,48h,CTT,n,0.38
H12,3,48h,CTT,y,0.38
H13,1,24h,CIP,n,0.047
H13,1,24h,CIP,y,0.064
H13,2,24h,CIP,n,0.047
H13,2,24h,CIP,y,0.064
H13,3,24h,CIP,n,0.047
H13,3,24h,CIP,y,0.094
H13,1,24h,GEN,n,1.5
H13,1,24h,GEN,y,1.5
H13,2,24h,GEN,n,NA
H13,2,24h,GEN,y,NA
H13,3,24h,GEN,n,1
H13,3,24h,GEN,y,2
H13,1,24h,TOB,n,1.5
H13,1,24h,TOB,y,1.5
H13,2,24h,TOB,n,NA
H13,2,24h,TOB,y,NA
H13,3,24h,TOB,n,1.5
H13,3,24h,TOB,y,1.5
H13,1,24h,MER,n,0.016
H13,1,24h,MER,y,0.016
H13,2,24h,MER,n,NA
H13,2,24h,MER,y,NA
H13,3,24h,MER,n,0.023
H13,3,24h,MER,y,0.023
H13,1,24h,PIT,n,2
H13,1,24h,PIT,y,2
H13,2,24h,PIT,n,NA
H13,2,24h,PIT,y,NA
H13,3,24h,PIT,n,4
H13,3,24h,PIT,y,4
H13,1,24h,COL,n,4
H13,1,24h,COL,y,4
H13,2,24h,COL,n,4
H13,2,24h,COL,y,4
H13,3,24h,COL,n,4
H13,3,24h,COL,y,4
H13,1,24h,AMI,n,6
H13,1,24h,AMI,y,6
H13,2,24h,AMI,n,6
H13,2,24h,AMI,y,6
H13,3,24h,AMI,n,6
H13,3,24h,AMI,y,6
H13,1,24h,CTZ,n,1.5
H13,1,24h,CTZ,y,1.5
H13,2,24h,CTZ,n,1.5
H13,2,24h,CTZ,y,1.5
H13,3,24h,CTZ,n,2
H13,3,24h,CTZ,y,3
H13,1,24h,CTT,n,0.5
H13,1,24h,CTT,y,0.5
H13,2,24h,CTT,n,0.38
H13,2,24h,CTT,y,0.38
H13,3,24h,CTT,n,0.38
H13,3,24h,CTT,y,0.38
H13,1,48h,CIP,n,0.047
H13,1,48h,CIP,y,0.064
H13,2,48h,CIP,n,0.064
H13,2,48h,CIP,y,0.064
H13,3,48h,CIP,n,0.064
H13,3,48h,CIP,y,0.094
H13,1,48h,GEN,n,1.5
H13,1,48h,GEN,y,1.5
H13,2,48h,GEN,n,NA
H13,2,48h,GEN,y,NA
H13,3,48h,GEN,n,1
H13,3,48h,GEN,y,1
H13,1,48h,TOB,n,1
H13,1,48h,TOB,y,1
H13,2,48h,TOB,n,NA
H13,2,48h,TOB,y,NA
H13,3,48h,TOB,n,1.5
H13,3,48h,TOB,y,1.5
H13,1,48h,MER,n,0.016
H13,1,48h,MER,y,0.016
H13,2,48h,MER,n,NA
H13,2,48h,MER,y,NA
H13,3,48h,MER,n,0.023
H13,3,48h,MER,y,0.023
H13,1,48h,PIT,n,2
H13,1,48h,PIT,y,2
H13,2,48h,PIT,n,NA
H13,2,48h,PIT,y,NA
H13,3,48h,PIT,n,3
H13,3,48h,PIT,y,3
H13,1,48h,COL,n,4
H13,1,48h,COL,y,4
H13,2,48h,COL,n,4
H13,2,48h,COL,y,4
H13,3,48h,COL,n,4
H13,3,48h,COL,y,4
H13,1,48h,AMI,n,6
H13,1,48h,AMI,y,8
H13,2,48h,AMI,n,6
H13,2,48h,AMI,y,6
H13,3,48h,AMI,n,6
H13,3,48h,AMI,y,6
H13,1,48h,CTZ,n,1.5
H13,1,48h,CTZ,y,1.5
H13,2,48h,CTZ,n,1.5
H13,2,48h,CTZ,y,1.5
H13,3,48h,CTZ,n,2
H13,3,48h,CTZ,y,3
H13,1,48h,CTT,n,0.5
H13,1,48h,CTT,y,0.75
H13,2,48h,CTT,n,0.38
H13,2,48h,CTT,y,0.38
H13,3,48h,CTT,n,0.38
H13,3,48h,CTT,y,0.38
H14,1,24h,CIP,n,0.064
H14,1,24h,CIP,y,0.094
H14,2,24h,CIP,n,0.064
H14,2,24h,CIP,y,0.064
H14,3,24h,CIP,n,0.032
H14,3,24h,CIP,y,0.064
H14,1,24h,GEN,n,1.5
H14,1,24h,GEN,y,1.5
H14,2,24h,GEN,n,2
H14,2,24h,GEN,y,2
H14,3,24h,GEN,n,1.5
H14,3,24h,GEN,y,1.5
H14,1,24h,TOB,n,0.75
H14,1,24h,TOB,y,0.75
H14,2,24h,TOB,n,1
H14,2,24h,TOB,y,1
H14,3,24h,TOB,n,1.5
H14,3,24h,TOB,y,1.5
H14,1,24h,MER,n,0.012
H14,1,24h,MER,y,0.012
H14,2,24h,MER,n,0.012
H14,2,24h,MER,y,0.012
H14,3,24h,MER,n,0.012
H14,3,24h,MER,y,0.012
H14,1,24h,PIT,n,1
H14,1,24h,PIT,y,1
H14,2,24h,PIT,n,0.75
H14,2,24h,PIT,y,0.75
H14,3,24h,PIT,n,1.5
H14,3,24h,PIT,y,1.5
H14,1,24h,COL,n,2
H14,1,24h,COL,y,2
H14,2,24h,COL,n,3
H14,2,24h,COL,y,12
H14,3,24h,COL,n,2
H14,3,24h,COL,y,2
H14,1,24h,AMI,n,4
H14,1,24h,AMI,y,4
H14,2,24h,AMI,n,4
H14,2,24h,AMI,y,4
H14,3,24h,AMI,n,3
H14,3,24h,AMI,y,3
H14,1,24h,CTZ,n,0.5
H14,1,24h,CTZ,y,1.5
H14,2,24h,CTZ,n,0.75
H14,2,24h,CTZ,y,1
H14,3,24h,CTZ,n,0.38
H14,3,24h,CTZ,y,0.5
H14,1,24h,CTT,n,0.38
H14,1,24h,CTT,y,0.38
H14,2,24h,CTT,n,0.38
H14,2,24h,CTT,y,0.38
H14,3,24h,CTT,n,0.38
H14,3,24h,CTT,y,0.38
H14,1,48h,CIP,n,0.094
H14,1,48h,CIP,y,0.094
H14,2,48h,CIP,n,0.064
H14,2,48h,CIP,y,0.064
H14,3,48h,CIP,n,0.047
H14,3,48h,CIP,y,0.047
H14,1,48h,GEN,n,1.5
H14,1,48h,GEN,y,1.5
H14,2,48h,GEN,n,2
H14,2,48h,GEN,y,2
H14,3,48h,GEN,n,1.5
H14,3,48h,GEN,y,1.5
H14,1,48h,TOB,n,0.75
H14,1,48h,TOB,y,0.75
H14,2,48h,TOB,n,1
H14,2,48h,TOB,y,1
H14,3,48h,TOB,n,1.5
H14,3,48h,TOB,y,1.5
H14,1,48h,MER,n,0.012
H14,1,48h,MER,y,0.012
H14,2,48h,MER,n,0.012
H14,2,48h,MER,y,0.012
H14,3,48h,MER,n,0.012
H14,3,48h,MER,y,0.012
H14,1,48h,PIT,n,0.75
H14,1,48h,PIT,y,0.75
H14,2,48h,PIT,n,0.75
H14,2,48h,PIT,y,0.75
H14,3,48h,PIT,n,1.5
H14,3,48h,PIT,y,1.5
H14,1,48h,COL,n,2
H14,1,48h,COL,y,2
H14,2,48h,COL,n,3
H14,2,48h,COL,y,12
H14,3,48h,COL,n,2
H14,3,48h,COL,y,4
H14,1,48h,AMI,n,4
H14,1,48h,AMI,y,4
H14,2,48h,AMI,n,4
H14,2,48h,AMI,y,4
H14,3,48h,AMI,n,3
H14,3,48h,AMI,y,3
H14,1,48h,CTZ,n,0.5
H14,1,48h,CTZ,y,1.5
H14,2,48h,CTZ,n,0.75
H14,2,48h,CTZ,y,1
H14,3,48h,CTZ,n,0.38
H14,3,48h,CTZ,y,0.5
H14,1,48h,CTT,n,0.38
H14,1,48h,CTT,y,0.38
H14,2,48h,CTT,n,0.38
H14,2,48h,CTT,y,0.38
H14,3,48h,CTT,n,0.38
H14,3,48h,CTT,y,0.38
H15,1,24h,CIP,n,0.032
H15,1,24h,CIP,y,0.064
H15,2,24h,CIP,n,0.064
H15,2,24h,CIP,y,0.125
H15,3,24h,CIP,n,0.064
H15,3,24h,CIP,y,0.125
H15,1,24h,GEN,n,1
H15,1,24h,GEN,y,1
H15,2,24h,GEN,n,1.5
H15,2,24h,GEN,y,1.5
H15,3,24h,GEN,n,0.75
H15,3,24h,GEN,y,0.75
H15,1,24h,TOB,n,0.75
H15,1,24h,TOB,y,0.75
H15,2,24h,TOB,n,0.75
H15,2,24h,TOB,y,0.75
H15,3,24h,TOB,n,1
H15,3,24h,TOB,y,1
H15,1,24h,MER,n,0.032
H15,1,24h,MER,y,0.032
H15,2,24h,MER,n,0.023
H15,2,24h,MER,y,0.023
H15,3,24h,MER,n,0.023
H15,3,24h,MER,y,0.023
H15,1,24h,PIT,n,0.5
H15,1,24h,PIT,y,0.5
H15,2,24h,PIT,n,0.75
