strain,replicate,time,drug,microcol,mic
H15,2,24h,PIT,y,0.75
H15,3,24h,PIT,n,1
H15,3,24h,PIT,y,1
H15,1,24h,COL,n,6
H15,1,24h,COL,y,6
H15,2,24h,COL,n,4
H15,2,24h,COL,y,4
H15,3,24h,COL,n,6
H15,3,24h,COL,y,6
H15,1,24h,AMI,n,2
H15,1,24h,AMI,y,4
H15,2,24h,AMI,n,4
H15,2,24h,AMI,y,8
H15,3,24h,AMI,n,4
H15,3,24h,AMI,y,6
H15,1,24h,CTZ,n,0.19
H15,1,24h,CTZ,y,0.25
H15,2,24h,CTZ,n,0.19
H15,2,24h,CTZ,y,1.5
H15,3,24h,CTZ,n,0.125
H15,3,24h,CTZ,y,0.38
H15,1,24h,CTT,n,0.064
H15,1,24h,CTT,y,0.38
H15,2,24h,CTT,n,0.047
H15,2,24h,CTT,y,0.094
H15,3,24h,CTT,n,0.047
H15,3,24h,CTT,y,0.25
H15,1,48h,CIP,n,0.047
H15,1,48h,CIP,y,0.047
H15,2,48h,CIP,n,0.064
H15,2,48h,CIP,y,0.125
H15,3,48h,CIP,n,0.064
H15,3,48h,CIP,y,0.125
H15,1,48h,GEN,n,1
H15,1,48h,GEN,y,1.5
H15,2,48h,GEN,n,1.5
H15,2,48h,GEN,y,1.5
H15,3,48h,GEN,n,0.75
H15,3,48h,GEN,y,0.75
H15,1,48h,TOB,n,1
H15,1,48h,TOB,y,1
H15,2,48h,TOB,n,0.75
H15,2,48h,TOB,y,0.75
H15,3,48h,TOB,n,1
H15,3,48h,TOB,y,1
H15,1,48h,MER,n,0.032
H15,1,48h,MER,y,0.047
H15,2,48h,MER,n,0.023
H15,2,48h,MER,y,0.125
H15,3,48h,MER,n,0.023
H15,3,48h,MER,y,0.032
H15,1,48h,PIT,n,0.5
H15,1,48h,PIT,y,0.75
H15,2,48h,PIT,n,0.75
H15,2,48h,PIT,y,0.75
H15,3,48h,PIT,n,1
H15,3,48h,PIT,y,1
H15,1,48h,COL,n,6
H15,1,48h,COL,y,6
H15,2,48h,COL,n,4
H15,2,48h,COL,y,4
H15,3,48h,COL,n,6
H15,3,48h,COL,y,6
H15,1,48h,AMI,n,2
H15,1,48h,AMI,y,6
H15,2,48h,AMI,n,4
H15,2,48h,AMI,y,12
H15,3,48h,AMI,n,4
H15,3,48h,AMI,y,8
H15,1,48h,CTZ,n,0.19
H15,1,48h,CTZ,y,0.38
H15,2,48h,CTZ,n,0.19
H15,2,48h,CTZ,y,1.5
H15,3,48h,CTZ,n,0.125
H15,3,48h,CTZ,y,0.38
H15,1,48h,CTT,n,0.064
H15,1,48h,CTT,y,0.38
H15,2,48h,CTT,n,0.047
H15,2,48h,CTT,y,0.094
H15,3,48h,CTT,n,0.047
H15,3,48h,CTT,y,0.25
H16,1,24h,CIP,n,0.094
H16,1,24h,CIP,y,0.125
H16,2,24h,CIP,n,0.125
H16,2,24h,CIP,y,0.125
H16,3,24h,CIP,n,0.047
H16,3,24h,CIP,y,0.064
H16,1,24h,GEN,n,0.75
H16,1,24h,GEN,y,0.75
H16,2,24h,GEN,n,1.5
H16,2,24h,GEN,y,1.5
H16,3,24h,GEN,n,1.5
H16,3,24h,GEN,y,1.5
H16,1,24h,TOB,n,1.5
H16,1,24h,TOB,y,1.5
H16,2,24h,TOB,n,0.75
H16,2,24h,TOB,y,0.75
H16,3,24h,TOB,n,1.5
H16,3,24h,TOB,y,1.5
H16,1,24h,MER,n,0.047
H16,1,24h,MER,y,0.047
H16,2,24h,MER,n,0.047
H16,2,24h,MER,y,0.047
H16,3,24h,MER,n,0.047
H16,3,24h,MER,y,0.047
H16,1,24h,PIT,n,3
H16,1,24h,PIT,y,3
H16,2,24h,PIT,n,3
H16,2,24h,PIT,y,3
H16,3,24h,PIT,n,2
H16,3,24h,PIT,y,2
H16,1,24h,COL,n,2
H16,1,24h,COL,y,4
H16,2,24h,COL,n,2
H16,2,24h,COL,y,16
H16,3,24h,COL,n,3
H16,3,24h,COL,y,3
H16,1,24h,AMI,n,6
H16,1,24h,AMI,y,6
H16,2,24h,AMI,n,8
H16,2,24h,AMI,y,8
H16,3,24h,AMI,n,8
H16,3,24h,AMI,y,16
H16,1,24h,CTZ,n,1.5
H16,1,24h,CTZ,y,2
H16,2,24h,CTZ,n,1
H16,2,24h,CTZ,y,2
H16,3,24h,CTZ,n,1
H16,3,24h,CTZ,y,2
H16,1,24h,CTT,n,0.5
H16,1,24h,CTT,y,0.5
H16,2,24h,CTT,n,0.5
H16,2,24h,CTT,y,0.5
H16,3,24h,CTT,n,0.25
H16,3,24h,CTT,y,0.25
H16,1,48h,CIP,n,0.094
H16,1,48h,CIP,y,0.094
H16,2,48h,CIP,n,0.125
H16,2,48h,CIP,y,0.125
H16,3,48h,CIP,n,0.047
H16,3,48h,CIP,y,0.064
H16,1,48h,GEN,n,1
H16,1,48h,GEN,y,1
H16,2,48h,GEN,n,1.5
H16,2,48h,GEN,y,1.5
H16,3,48h,GEN,n,1.5
H16,3,48h,GEN,y,1.5
H16,1,48h,TOB,n,1.5
H16,1,48h,TOB,y,1.5
H16,2,48h,TOB,n,1
H16,2,48h,TOB,y,1
H16,3,48h,TOB,n,1.5
H16,3,48h,TOB,y,1.5
H16,1,48h,MER,n,0.047
H16,1,48h,MER,y,0.047
H16,2,48h,MER,n,0.047
H16,2,48h,MER,y,0.047
H16,3,48h,MER,n,0.047
H16,3,48h,MER,y,0.047
H16,1,48h,PIT,n,3
H16,1,48h,PIT,y,3
H16,2,48h,PIT,n,3
H16,2,48h,PIT,y,3
H16,3,48h,PIT,n,2
H16,3,48h,PIT,y,2
H16,1,48h,COL,n,2
H16,1,48h,COL,y,4
H16,2,48h,COL,n,2
H16,2,48h,COL,y,16
H16,3,48h,COL,n,3
H16,3,48h,COL,y,3
H16,1,48h,AMI,n,6
H16,1,48h,AMI,y,6
H16,2,48h,AMI,n,8
H16,2,48h,AMI,y,8
H16,3,48h,AMI,n,8
H16,3,48h,AMI,y,16
H16,1,48h,CTZ,n,1.5
H16,1,48h,CTZ,y,2
H16,2,48h,CTZ,n,1
H16,2,48h,CTZ,y,2
H16,3,48h,CTZ,n,1
H16,3,48h,CTZ,y,2
H16,1,48h,CTT,n,0.5
H16,1,48h,CTT,y,0.5
H16,2,48h,CTT,n,0.5
H16,2,48h,CTT,y,0.5
H16,3,48h,CTT,n,0.25
H16,3,48h,CTT,y,0.25
H17,1,24h,CIP,n,0.064
H17,1,24h,CIP,y,0.125
H17,2,24h,CIP,n,0.094
H17,2,24h,CIP,y,0.19
H17,3,24h,CIP,n,0.094
H17,3,24h,CIP,y,0.094
H17,1,24h,GEN,n,1.5
H17,1,24h,GEN,y,1.5
H17,2,24h,GEN,n,1.5
H17,2,24h,GEN,y,1.5
H17,3,24h,GEN,n,1
H17,3,24h,GEN,y,1
H17,1,24h,TOB,n,2
H17,1,24h,TOB,y,2
H17,2,24h,TOB,n,1.5
H17,2,24h,TOB,y,1.5
H17,3,24h,TOB,n,1.5
H17,3,24h,TOB,y,1.5
H17,1,24h,MER,n,0.032
H17,1,24h,MER,y,0.032
H17,2,24h,MER,n,0.047
H17,2,24h,MER,y,0.047
H17,3,24h,MER,n,0.023
H17,3,24h,MER,y,0.023
H17,1,24h,PIT,n,4
H17,1,24h,PIT,y,4
H17,2,24h,PIT,n,3
H17,2,24h,PIT,y,3
H17,3,24h,PIT,n,4
H17,3,24h,PIT,y,4
H17,1,24h,COL,n,4
H17,1,24h,COL,y,4
H17,2,24h,COL,n,4
H17,2,24h,COL,y,4
H17,3,24h,COL,n,3
H17,3,24h,COL,y,3
H17,1,24h,AMI,n,6
H17,1,24h,AMI,y,6
H17,2,24h,AMI,n,6
H17,2,24h,AMI,y,12
H17,3,24h,AMI,n,4
H17,3,24h,AMI,y,4
H17,1,24h,CTZ,n,2
H17,1,24h,CTZ,y,2
H17,2,24h,CTZ,n,2
H17,2,24h,CTZ,y,2
H17,3,24h,CTZ,n,2
H17,3,24h,CTZ,y,2
H17,1,24h,CTT,n,0.75
H17,1,24h,CTT,y,0.75
H17,2,24h,CTT,n,0.5
H17,2,24h,CTT,y,0.5
H17,3,24h,CTT,n,0.5
H17,3,24h,CTT,y,0.5
H17,1,48h,CIP,n,0.064
H17,1,48h,CIP,y,0.125
H17,2,48h,CIP,n,0.094
H17,2,48h,CIP,y,0.125
H17,3,48h,CIP,n,0.094
H17,3,48h,CIP,y,0.125
H17,1,48h,GEN,n,1
H17,1,48h,GEN,y,1
H17,2,48h,GEN,n,1.5
H17,2,48h,GEN,y,1.5
H17,3,48h,GEN,n,1.5
H17,3,48h,GEN,y,1.5
H17,1,48h,TOB,n,1.5
H17,1,48h,TOB,y,1.5
H17,2,48h,TOB,n,1.5
H17,2,48h,TOB,y,1.5
H17,3,48h,TOB,n,2
H17,3,48h,TOB,y,2
H17,1,48h,MER,n,0.023
H17,1,48h,MER,y,0.023
H17,2,48h,MER,n,0.047
H17,2,48h,MER,y,0.047
H17,3,48h,MER,n,0.032
H17,3,48h,MER,y,0.032
H17,1,48h,PIT,n,4
H17,1,48h,PIT,y,4
H17,2,48h,PIT,n,3
H17,2,48h,PIT,y,3
H17,3,48h,PIT,n,4
H17,3,48h,PIT,y,4
H17,1,48h,COL,n,4
H17,1,48h,COL,y,4
H17,2,48h,COL,n,4
H17,2,48h,COL,y,6
H17,3,48h,COL,n,3
H17,3,48h,COL,y,3
H17,1,48h,AMI,n,6
H17,1,48h,AMI,y,6
H17,2,48h,AMI,n,6
H17,2,48h,AMI,y,12
H17,3,48h,AMI,n,4
H17,3,48h,AMI,y,4
H17,1,48h,CTZ,n,2
H17,1,48h,CTZ,y,2
H17,2,48h,CTZ,n,2
H17,2,48h,CTZ,y,2
H17,3,48h,CTZ,n,2
H17,3,48h,CTZ,y,2
H17,1,48h,CTT,n,0.75
H17,1,48h,CTT,y,0.75
H17,2,48h,CTT,n,0.5
H17,2,48h,CTT,y,0.5
H17,3,48h,CTT,n,0.5
H17,3,48h,CTT,y,0.5
H18,1,24h,CIP,n,0.064
H18,1,24h,CIP,y,0.064
H18,2,24h,CIP,n,0.064
H18,2,24h,CIP,y,0.125
H18,3,24h,CIP,n,0.094
H18,3,24h,CIP,y,0.094
H18,1,24h,GEN,n,2
H18,1,24h,GEN,y,3
H18,2,24h,GEN,n,3
H18,2,24h,GEN,y,4
H18,3,24h,GEN,n,2
H18,3,24h,GEN,y,2
H18,1,24h,TOB,n,1.5
H18,1,24h,TOB,y,1.5
H18,2,24h,TOB,n,1.5
H18,2,24h,TOB,y,1.5
H18,3,24h,TOB,n,2
H18,3,24h,TOB,y,2
H18,1,24h,MER,n,0.032
H18,1,24h,MER,y,0.047
H18,2,24h,MER,n,0.032
H18,2,24h,MER,y,0.032
H18,3,24h,MER,n,0.032
H18,3,24h,MER,y,0.032
H18,1,24h,PIT,n,3
H18,1,24h,PIT,y,3
H18,2,24h,PIT,n,3
H18,2,24h,PIT,y,3
H18,3,24h,PIT,n,6
H18,3,24h,PIT,y,6
H18,1,24h,COL,n,3
H18,1,24h,COL,y,3
H18,2,24h,COL,n,3
H18,2,24h,COL,y,3
H18,3,24h,COL,n,3
H18,3,24h,COL,y,3
H18,1,24h,AMI,n,8
H18,1,24h,AMI,y,8
H18,2,24h,AMI,n,8
H18,2,24h,AMI,y,8
H18,3,24h,AMI,n,8
H18,3,24h,AMI,y,8
H18,1,24h,CTZ,n,1.5
H18,1,24h,CTZ,y,1.5
H18,2,24h,CTZ,n,2
H18,2,24h,CTZ,y,2
H18,3,24h,CTZ,n,1
H18,3,24h,CTZ,y,1
H18,1,24h,CTT,n,0.38
H18,1,24h,CTT,y,0.38
H18,2,24h,CTT,n,0.5
H18,2,24h,CTT,y,0.5
H18,3,24h,CTT,n,0.5
H18,3,24h,CTT,y,0.75
H18,1,48h,CIP,n,0.094
H18,1,48h,CIP,y,0.094
H18,2,48h,CIP,n,0.064
H18,2,48h,CIP,y,0.125
H18,3,48h,CIP,n,0.064
H18,3,48h,CIP,y,0.094
H18,1,48h,GEN,n,2
H18,1,48h,GEN,y,2
H18,2,48h,GEN,n,3
H18,2,48h,GEN,y,4
H18,3,48h,GEN,n,2
H18,3,48h,GEN,y,2
H18,1,48h,TOB,n,1.5
H18,1,48h,TOB,y,1.5
H18,2,48h,TOB,n,1.5
H18,2,48h,TOB,y,1.5
H18,3,48h,TOB,n,2
H18,3,48h,TOB,y,2
H18,1,48h,MER,n,0.032
H18,1,48h,MER,y,0.047
H18,2,48h,MER,n,0.032
H18,2,48h,MER,y,0.032
H18,3,48h,MER,n,0.032
H18,3,48h,MER,y,0.032
H18,1,48h,PIT,n,3
H18,1,48h,PIT,y,3
H18,2,48h,PIT,n,3
H18,2,48h,PIT,y,3
H18,3,48h,PIT,n,6
H18,3,48h,PIT,y,6
H18,1,48h,COL,n,3
H18,1,48h,COL,y,3
H18,2,48h,COL,n,3
H18,2,48h,COL,y,3
H18,3,48h,COL,n,3
H18,3,48h,COL,y,3
H18,1,48h,AMI,n,8
H18,1,48h,AMI,y,8
H18,2,48h,AMI,n,8
H18,2,48h,AMI,y,8
H18,3,48h,AMI,n,8
H18,3,48h,AMI,y,8
H18,1,48h,CTZ,n,1.5
H18,1,48h,CTZ,y,1.5
H18,2,48h,CTZ,n,2
H18,2,48h,CTZ,y,2
H18,3,48h,CTZ,n,1
H18,3,48h,CTZ,y,1
H18,1,48h,CTT,n,0.38
H18,1,48h,CTT,y,0.38
H18,2,48h,CTT,n,0.5
H18,2,48h,CTT,y,0.5
H18,3,48h,CTT,n,0.5
H18,3,48h,CTT,y,0.75
H19,1,24h,CIP,n,0.094
H19,1,24h,CIP,y,0.094
H19,2,24h,CIP,n,0.047
H19,2,24h,CIP,y,0.125
H19,3,24h,CIP,n,0.094
H19,3,24h,CIP,y,0.094
H19,1,24h,GEN,n,1.5
H19,1,24h,GEN,y,1.5
H19,2,24h,GEN,n,1.5
H19,2,24h,GEN,y,1.5
H19,3,24h,GEN,n,1
H19,3,24h,GEN,y,1
H19,1,24h,TOB,n,2
H19,1,24h,TOB,y,2
H19,2,24h,TOB,n,2
H19,2,24h,TOB,y,2
H19,3,24h,TOB,n,1.5
H19,3,24h,TOB,y,1.5
H19,1,24h,MER,n,0.047
H19,1,24h,MER,y,0.047
H19,2,24h,MER,n,0.023
H19,2,24h,MER,y,0.023
H19,3,24h,MER,n,0.047
H19,3,24h,MER,y,0.047
H19,1,24h,PIT,n,4
H19,1,24h,PIT,y,6
H19,2,24h,PIT,n,3
H19,2,24h,PIT,y,3
H19,3,24h,PIT,n,4
H19,3,24h,PIT,y,6
H19,1,24h,COL,n,4
H19,1,24h,COL,y,4
H19,2,24h,COL,n,3
H19,2,24h,COL,y,3
H19,3,24h,COL,n,4
H19,3,24h,COL,y,4
H19,1,24h,AMI,n,4
H19,1,24h,AMI,y,6
H19,2,24h,AMI,n,4
H19,2,24h,AMI,y,4
H19,3,24h,AMI,n,4
H19,3,24h,AMI,y,4
H19,1,24h,CTZ,n,1.5
H19,1,24h,CTZ,y,1.5
H19,2,24h,CTZ,n,2
H19,2,24h,CTZ,y,2
H19,3,24h,CTZ,n,1.5
H19,3,24h,CTZ,y,1.5
H19,1,24h,CTT,n,0.38
H19,1,24h,CTT,y,0.38
H19,2,24h,CTT,n,0.75
H19,2,24h,CTT,y,0.75
H19,3,24h,CTT,n,0.5
H19,3,24h,CTT,y,0.5
H19,1,48h,CIP,n,0.094
H19,1,48h,CIP,y,0.125
H19,2,48h,CIP,n,0.047
H19,2,48h,CIP,y,0.125
H19,3,48h,CIP,n,0.064
H19,3,48h,CIP,y,0.094
H19,1,48h,GEN,n,1.5
H19,1,48h,GEN,y,1.5
H19,2,48h,GEN,n,1.5
H19,2,48h,GEN,y,1.5
H19,3,48h,GEN,n,1
H19,3,48h,GEN,y,1
H19,1,48h,TOB,n,2
H19,1,48h,TOB,y,2
H19,2,48h,TOB,n,2
H19,2,48h,TOB,y,3
H19,3,48h,TOB,n,1.5
H19,3,48h,TOB,y,1.5
H19,1,48h,MER,n,0.047
H19,1,48h,MER,y,0.047
H19,2,48h,MER,n,0.023
H19,2,48h,MER,y,0.023
H19,3,48h,MER,n,0.047
H19,3,48h,MER,y,0.38
H19,1,48h,PIT,n,3
H19,1,48h,PIT,y,3
H19,2,48h,PIT,n,3
H19,2,48h,PIT,y,3
H19,3,48h,PIT,n,4
H19,3,48h,PIT,y,4
H19,1,48h,COL,n,6
H19,1,48h,COL,y,6
H19,2,48h,COL,n,3
H19,2,48h,COL,y,3
H19,3,48h,COL,n,4
H19,3,48h,COL,y,4
H19,1,48h,AMI,n,4
H19,1,48h,AMI,y,6
H19,2,48h,AMI,n,4
H19,2,48h,AMI,y,4
H19,3,48h,AMI,n,4
H19,3,48h,AMI,y,4
H19,1,48h,CTZ,n,1.5
H19,1,48h,CTZ,y,1.5
H19,2,48h,CTZ,n,2
H19,2,48h,CTZ,y,2
H19,3,48h,CTZ,n,1.5
H19,3,48h,CTZ,y,1.5
H19,1,48h,CTT,n,0.38
H19,1,48h,CTT,y,0.38
H19,2,48h,CTT,n,0.75
H19,2,48h,CTT,y,0.75
H19,3,48h,CTT,n,0.5
H19,3,48h,CTT,y,0.75
H20,1,24h,CIP,n,0.094
H20,1,24h,CIP,y,0.125
H20,2,24h,CIP,n,0.064
H20,2,24h,CIP,y,0.064
H20,3,24h,CIP,n,0.094
H20,3,24h,CIP,y,0.094
H20,1,24h,GEN,n,1.5
H20,1,24h,GEN,y,1.5
H20,2,24h,GEN,n,1
H20,2,24h,GEN,y,1
H20,3,24h,GEN,n,1.5
H20,3,24h,GEN,y,1.5
H20,1,24h,TOB,n,1.5
H20,1,24h,TOB,y,1.5
H20,2,24h,TOB,n,1.5
H20,2,24h,TOB,y,1.5
H20,3,24h,TOB,n,1.5
H20,3,24h,TOB,y,1.5
H20,1,24h,MER,n,0.032
H20,1,24h,MER,y,0.047
H20,2,24h,MER,n,0.032
H20,2,24h,MER,y,0.032
H20,3,24h,MER,n,0.032
H20,3,24h,MER,y,0.047
H20,1,24h,PIT,n,3
H20,1,24h,PIT,y,3
H20,2,24h,PIT,n,3
H20,2,24h,PIT,y,3
H20,3,24h,PIT,n,4
H20,3,24h,PIT,y,4
H20,1,24h,COL,n,4
H20,1,24h,COL,y,6
H20,2,24h,COL,n,3
H20,2,24h,COL,y,6
H20,3,24h,COL,n,4
H20,3,24h,COL,y,4
H20,1,24h,AMI,n,4
H20,1,24h,AMI,y,4
H20,2,24h,AMI,n,4
H20,2,24h,AMI,y,4
H20,3,24h,AMI,n,4
H20,3,24h,AMI,y,12
H20,1,24h,CTZ,n,1.5
H20,1,24h,CTZ,y,2
H20,2,24h,CTZ,n,1.5
H20,2,24h,CTZ,y,1.5
H20,3,24h,CTZ,n,1.5
H20,3,24h,CTZ,y,1.5
H20,1,24h,CTT,n,0.75
H20,1,24h,CTT,y,0.75
H20,2,24h,CTT,n,0.75
H20,2,24h,CTT,y,0.75
H20,3,24h,CTT,n,0.5
H20,3,24h,CTT,y,0.75
H20,1,48h,CIP,n,0.094
H20,1,48h,CIP,y,0.125
H20,2,48h,CIP,n,0.047
H20,2,48h,CIP,y,0.064
H20,3,48h,CIP,n,0.094
H20,3,48h,CIP,y,0.094
H20,1,48h,GEN,n,1.5
H20,1,48h,GEN,y,1.5
H20,2,48h,GEN,n,1
H20,2,48h,GEN,y,1
H20,3,48h,GEN,n,1.5
H20,3,48h,GEN,y,1.5
H20,1,48h,TOB,n,1.5
H20,1,48h,TOB,y,1.5
H20,2,48h,TOB,n,1.5
H20,2,48h,TOB,y,1.5
H20,3,48h,TOB,n,1.5
H20,3,48h,TOB,y,1.5
H20,1,48h,MER,n,0.032
H20,1,48h,MER,y,0.032
H20,2,48h,MER,n,0.032
H20,2,48h,MER,y,0.032
H20,3,48h,MER,n,0.032
H20,3,48h,MER,y,0.032
H20,1,48h,PIT,n,3
H20,1,48h,PIT,y,3
H20,2,48h,PIT,n,3
H20,2,48h,PIT,y,3
H20,3,48h,PIT,n,4
H20,3,48h,PIT,y,4
H20,1,48h,COL,n,4
H20,1,48h,COL,y,6
H20,2,48h,COL,n,3
H20,2,48h,COL,y,8
H20,3,48h,COL,n,4
H20,3,48h,COL,y,4
H20,1,48h,AMI,n,4
H20,1,48h,AMI,y,4
H20,2,48h,AMI,n,4
H20,2,48h,AMI,y,4
H20,3,48h,AMI,n,4
H20,3,48h,AMI,y,12
H20,1,48h,CTZ,n,1.5
H20,1,48h,CTZ,y,2
H20,2,48h,CTZ,n,1.5
H20,2,48h,CTZ,y,1.5
H20,3,48h,CTZ,n,1.5
H20,3,48h,CTZ,y,1.5
H20,1,48h,CTT,n,0.75
H20,1,48h,CTT,y,0.75
H20,2,48h,CTT,n,0.75
H20,2,48h,CTT,y,0.75
H20,3,48h,CTT,n,0.5
H20,3,48h,CTT,y,0.75
