strain,replicate,mic,drug
PA14,1,0.064,CIP
PA14,2,0.064,CIP
PA14,3,0.094,CIP
PA14,1,0.75,GEN
PA14,2,0.75,GEN
PA14,3,1.5,GEN
PA14,1,1.5,TOB
PA14,2,0.75,TOB
PA14,3,1.5,TOB
PA14,1,0.016,MER
PA14,2,0.023,MER
PA14,3,0.047,MER
PA14,1,1,PIT
PA14,2,1.5,PIT
PA14,3,6,PIT
H04,1,0.094,CIP
H04,2,0.126,CIP
H04,3,0.064,CIP
H04,1,0.75,GEN
H04,2,0.75,GEN
H04,3,0.75,GEN
H04,1,2,TOB
H04,2,1.5,TOB
H04,3,1,TOB
H04,1,0.064,MER
H04,2,0.047,MER
H04,3,0.047,MER
H04,1,1.5,PIT
H04,2,6,PIT
H04,3,3,PIT
H05,1,0.094,CIP
H05,2,0.125,CIP
H05,3,0.125,CIP
H05,1,2,GEN
H05,2,1.5,GEN
H05,3,1.5,GEN
H05,1,3,TOB
H05,2,2,TOB
H05,3,2,TOB
H05,1,0.047,MER
H05,2,0.064,MER
H05,3,0.064,MER
H05,1,12,PIT
H05,2,8,PIT
H05,3,4,PIT
H07,1,0.094,CIP
H07,2,0.19,CIP
H07,3,0.125,CIP
H07,1,2,GEN
H07,2,3,GEN
H07,3,2,GEN
H07,1,2,TOB
H07,2,2,TOB
H07,3,1.5,TOB
H07,1,0.032,MER
H07,2,0.023,MER
H07,3,0.023,MER
H07,1,4,PIT
H07,2,6,PIT
H07,3,3,PIT
H09,1,0.19,CIP
H09,2,0.25,CIP
H09,3,0.19,CIP
H09,1,3,GEN
H09,2,2,GEN
H09,3,1.5,GEN
H09,1,1.5,TOB
H09,2,2,TOB
H09,3,1,TOB
H09,1,0.032,MER
H09,2,0.023,MER
H09,3,0.016,MER
H09,1,3,PIT
H09,2,3,PIT
H09,3,3,PIT
H13,1,0.032,CIP
H13,2,0.047,CIP
H13,3,0.012,CIP
H13,1,0.5,GEN
H13,2,0.75,GEN
H13,3,0.75,GEN
H13,1,1,TOB
H13,2,0.75,TOB
H13,3,1.5,TOB
H13,1,0.016,MER
H13,2,0.023,MER
H13,3,0.032,MER
H13,1,3,PIT
H13,2,1.5,PIT
H13,3,2,PIT
H14,1,0.032,CIP
H14,2,0.064,CIP
H14,3,0.064,CIP
H14,1,1,GEN
H14,2,1,GEN
H14,3,0.5,GEN
H14,1,0.75,TOB
H14,2,2,TOB
H14,3,1,TOB
H14,1,0.008,MER
H14,2,0.012,MER
H14,3,0.032,MER
H14,1,1.5,PIT
H14,2,1.5,PIT
H14,3,1.5,PIT
H15,1,0.023,CIP
H15,2,0.023,CIP
H15,3,0.047,CIP
H15,1,0.5,GEN
H15,2,0.75,GEN
H15,3,1,GEN
H15,1,1,TOB
H15,2,1.5,TOB
H15,3,1.5,TOB
H15,1,0.016,MER
H15,2,0.032,MER
H15,3,0.032,MER
H15,1,0.5,PIT
H15,2,1,PIT
H15,3,1.5,PIT
H18,1,0.064,CIP
H18,2,0.094,CIP
H18,3,0.125,CIP
H18,1,1.5,GEN
H18,2,1.5,GEN
H18,3,2,GEN
H18,1,2,TOB
H18,2,1,TOB
H18,3,1.5,TOB
H18,1,0.023,MER
H18,2,0.023,MER
H18,3,0.023,MER
H18,1,2,PIT
H18,2,2,PIT
H18,3,3,PIT
H20,1,0.19,CIP
H20,2,0.094,CIP
H20,3,0.064,CIP
H20,1,1,GEN
H20,2,2,GEN
H20,3,1.5,GEN
H20,1,1.5,TOB
H20,2,1.5,TOB
H20,3,2,TOB
H20,1,0.047,MER
H20,2,0.023,MER
H20,3,0.032,MER
H20,1,2,PIT
H20,2,4,PIT
H20,3,3,PIT
H01,1,0.064,CIP
H01,2,0.094,CIP
H01,3,0.064,CIP
H01,1,1,GEN
H01,2,0.75,GEN
H01,3,0.75,GEN
H01,1,1,TOB
H01,2,1.5,TOB
H01,3,1,TOB
H01,1,0.023,MER
H01,2,0.023,MER
H01,3,0.032,MER
H01,1,2,PIT
H01,2,2,PIT
H01,3,1.5,PIT
H02,1,0.19,CIP
H02,2,0.125,CIP
H02,3,0.25,CIP
H02,1,1,GEN
H02,2,1,GEN
H02,3,1,GEN
H02,1,1.5,TOB
H02,2,1.5,TOB
H02,3,1,TOB
H02,1,0.064,MER
H02,2,0.047,MER
H02,3,0.047,MER
H02,1,6,PIT
H02,2,8,PIT
H02,3,6,PIT
H04,1,0.064,CIP
H04,2,0.064,CIP
H04,3,0.094,CIP
H04,1,1,GEN
H04,2,1.5,GEN
H04,3,1.5,GEN
H04,1,1,TOB
H04,2,1,TOB
H04,3,1.5,TOB
H04,1,0.032,MER
H04,2,0.032,MER
H04,3,0.032,MER
H04,1,1.5,PIT
H04,2,3,PIT
H04,3,2,PIT
H08,1,1,CIP
H08,2,0.75,CIP
H08,3,1,CIP
H08,1,2,GEN
H08,2,1.5,GEN
H08,3,1,GEN
H08,1,2,TOB
H08,2,1.5,TOB
H08,3,1.5,TOB
H08,1,0.094,MER
H08,2,0.064,MER
H08,3,0.094,MER
H08,1,6,PIT
H08,2,6,PIT
H08,3,6,PIT
H10,1,0.094,CIP
H10,2,0.064,CIP
H10,3,0.064,CIP
H10,1,1.5,GEN
H10,2,1.5,GEN
H10,3,1.5,GEN
H10,1,2,TOB
H10,2,1.5,TOB
H10,3,1.5,TOB
H10,1,0.023,MER
H10,2,0.023,MER
H10,3,0.023,MER
H10,1,3,PIT
H10,2,3,PIT
H10,3,2,PIT
H13,1,0.023,CIP
H13,2,0.032,CIP
H13,3,0.064,CIP
H13,1,0.75,GEN
H13,2,0.5,GEN
H13,3,0.5,GEN
H13,1,1,TOB
H13,2,1,TOB
H13,3,0.75,TOB
H13,1,0.023,MER
H13,2,0.023,MER
H13,3,0.016,MER
H13,1,1,PIT
H13,2,1.5,PIT
H13,3,0.75,PIT
H16,1,0.064,CIP
H16,2,0.094,CIP
H16,3,0.094,CIP
H16,1,1.5,GEN
H16,2,1.5,GEN
H16,3,1,GEN
H16,1,2,TOB
H16,2,1.5,TOB
H16,3,1.5,TOB
H16,1,0.047,MER
H16,2,0.047,MER
H16,3,0.047,MER
H16,1,1.5,PIT
H16,2,2,PIT
H16,3,2,PIT
H17,1,0.032,CIP
H17,2,0.064,CIP
H17,3,0.047,CIP
H17,1,1.5,GEN
H17,2,1.5,GEN
H17,3,1.5,GEN
H17,1,2,TOB
H17,2,2,TOB
H17,3,1.5,TOB
H17,1,0.047,MER
H17,2,0.047,MER
H17,3,0.023,MER
H17,1,2,PIT
H17,2,2,PIT
H17,3,1.5,PIT
H19,1,0.064,CIP
H19,2,0.064,CIP
H19,3,0.125,CIP
H19,1,1.5,GEN
H19,2,2,GEN
H19,3,1.5,GEN
H19,1,1.5,TOB
H19,2,1.5,TOB
H19,3,1.5,TOB
H19,1,0.047,MER
H19,2,0.032,MER
H19,3,0.032,MER
H19,1,3,PIT
H19,2,4,PIT
H19,3,4,PIT
PAO1,1,0.064,CIP
PAO1,2,0.064,CIP
PAO1,3,0.094,CIP
PAO1,1,1.5,GEN
PAO1,2,1,GEN
PAO1,3,1.5,GEN
PAO1,1,1.5,TOB
PAO1,2,1,TOB
PAO1,3,2,TOB
PAO1,1,0.032,MER
PAO1,2,0.023,MER
PAO1,3,0.047,MER
PAO1,1,2,PIT
PAO1,2,2,PIT
PAO1,3,1.5,PIT
H03,1,32,CIP
H03,2,32,CIP
H03,3,32,CIP
H03,1,96,GEN
H03,2,64,GEN
H03,3,96,GEN
H03,1,128,TOB
H03,2,96,TOB
H03,3,192,TOB
H03,1,0.094,MER
H03,2,0.125,MER
H03,3,0.125,MER
H03,1,16,PIT
H03,2,12,PIT
H03,3,24,PIT
H06,1,32,CIP
H06,2,32,CIP
H06,3,32,CIP
H06,1,3,GEN
H06,2,3,GEN
H06,3,3,GEN
H06,1,3,TOB
H06,2,1.5,TOB
H06,3,4,TOB
H06,1,0.047,MER
H06,2,0.032,MER
H06,3,0.032,MER
H06,1,16,PIT
H06,2,12,PIT
H06,3,8,PIT
H11,1,32,CIP
H11,2,32,CIP
H11,3,32,CIP
H11,1,3,GEN
H11,2,3,GEN
H11,3,2,GEN
H11,1,3,TOB
H11,2,3,TOB
H11,3,3,TOB
H11,1,0.19,MER
H11,2,0.094,MER
H11,3,0.125,MER
H11,1,6,PIT
H11,2,6,PIT
H11,3,6,PIT
H12,1,32,CIP
H12,2,32,CIP
H12,3,32,CIP
H12,1,1.5,GEN
H12,2,2,GEN
H12,3,2,GEN
H12,1,4,TOB
H12,2,2,TOB
H12,3,4,TOB
H12,1,3,MER
H12,2,3,MER
H12,3,1,MER
H12,1,3,PIT
H12,2,16,PIT
H12,3,4,PIT
